Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305281620;22.80;0.00;10.00;386.00;34.70;6.40;37.00;11.90;24.80;952.30;1012.70;1015.60;-;-;-;-;-;-;-;-
COM;202305281620;18.10;0.00;0.00;104.00;81.20;14.80;251.00;1.80;3.20;946.40;1011.80;1013.80;-;-;-;-;-;-;-;-
ABO;202305281620;17.70;0.00;7.00;392.00;47.80;6.50;32.00;14.80;24.80;867.20;-;1017.10;1497.00;-;-;-;-;-;-;-
AIG;202305281620;24.80;0.00;10.00;365.00;37.50;9.30;348.00;12.60;19.10;967.10;1010.00;1012.20;-;-;-;-;-;-;-;-
ALT;202305281620;23.50;0.00;10.00;411.00;43.80;10.50;328.00;10.80;18.40;962.20;1011.60;1014.00;-;-;-;-;-;-;-;-
ARH;202305281620;23.50;0.00;10.00;387.00;40.20;9.20;16.00;9.00;14.80;968.20;1013.20;1015.20;-;-;-;-;-;-;-;-
AND;202305281620;19.30;0.00;0.00;162.00;44.10;6.80;338.00;9.40;20.20;902.00;-;1015.40;1496.40;-;-;-;-;-;-;-
ANT;202305281620;15.80;0.00;10.00;409.00;47.80;4.80;12.00;11.20;27.70;856.50;-;1018.10;1500.40;-;-;-;-;-;-;-
ARO;202305281620;11.50;0.00;0.00;212.00;61.40;4.30;42.00;8.30;14.80;812.60;-;1020.00;1500.70;-;-;-;-;-;-;-
RAG;202305281620;22.90;0.00;7.00;293.00;40.50;8.80;328.00;16.60;28.10;956.70;1012.60;1015.10;-;-;-;-;-;-;-;-
BAN;202305281620;-;-;10.00;435.00;-;-;-;-;-;-;-;-;-;-;51.00;33.50;43.60;17.90;37.50;3.20
BAS;202305281620;25.10;0.00;10.00;408.00;36.30;9.10;19.00;6.80;18.00;976.70;1012.50;1014.30;-;-;-;-;-;-;-;-
LAT;202305281620;16.80;0.00;5.00;298.00;43.70;4.40;305.00;9.40;22.30;-;-;-;-;-;-;-;-;-;-;-
BER;202305281620;23.40;0.00;10.00;427.00;32.60;6.00;44.00;16.60;26.30;949.60;1011.40;1014.50;-;-;-;-;-;-;-;-
BEZ;202305281620;25.20;0.00;10.00;398.00;33.70;8.10;80.00;10.10;22.70;975.70;1012.60;1014.40;-;-;-;-;-;-;-;-
BIA;202305281620;22.90;0.00;1.00;130.00;64.90;15.90;65.00;5.00;10.40;978.90;1010.60;1011.90;-;-;-;-;-;-;-;-
BIN;202305281620;15.10;0.00;-;-;64.70;8.50;239.00;7.60;13.00;-;-;-;-;-;-;-;-;-;-;-
BIZ;202305281620;23.00;0.00;10.00;376.00;34.70;6.60;44.00;15.80;23.80;955.90;1012.90;1015.60;-;-;-;-;-;-;-;-
BIV;202305281620;12.70;0.00;-;-;55.70;4.10;272.00;17.30;24.80;-;-;-;-;-;-;-;-;-;-;-
BIE;202305281620;22.60;0.00;10.00;449.00;40.80;8.60;18.00;13.70;27.70;935.00;-;1014.70;1506.90;-;-;-;-;-;-;-
BLA;202305281620;17.40;0.00;10.00;415.00;38.80;3.20;316.00;4.30;9.70;844.90;-;1017.20;1487.40;-;-;-;-;-;-;-
BOL;202305281620;22.20;0.00;10.00;391.00;38.80;7.50;45.00;16.90;24.50;919.90;-;1014.80;1502.90;-;-;-;-;-;-;-
BOU;202305281620;23.30;-;-;-;48.80;11.90;279.00;23.40;25.90;968.20;1010.50;1012.40;-;-;-;-;-;-;-;-
BRZ;202305281620;-;0.00;-;-;-;-;105.00;13.00;23.00;947.70;-;1014.10;-;-;-;-;-;-;-;-
BUS;202305281620;24.20;0.00;10.00;427.00;38.20;9.10;95.00;8.60;20.90;968.90;1012.60;1014.70;-;-;-;-;-;-;-;-
BUF;202305281620;13.10;0.00;0.00;138.00;42.20;0.60;311.00;7.90;15.80;803.00;-;1019.40;1488.00;-;-;-;-;-;-;-
FRE;202305281620;17.20;0.00;10.00;468.00;46.50;5.60;85.00;13.30;29.20;880.40;-;1017.70;1505.80;-;-;-;-;-;-;-
CEV;202305281620;22.50;0.00;0.00;80.00;52.00;12.20;234.00;24.50;37.40;963.00;1010.60;1012.70;-;-;-;-;-;-;-;-
