Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305291320;23.90;0.00;10.00;830.00;33.50;6.90;39.00;15.10;26.30;954.10;1014.40;1017.40;-;-;-;-;-;-;-;-
COM;202305291320;20.70;0.00;1.00;321.00;60.80;12.90;182.00;10.40;19.40;948.50;1013.40;1016.00;-;-;-;-;-;-;-;-
ABO;202305291320;18.80;0.00;8.00;800.00;44.10;6.30;41.00;13.70;26.30;868.20;-;1018.30;1507.50;-;-;-;-;-;-;-
AIG;202305291320;24.20;0.00;10.00;849.00;46.40;12.00;356.00;20.50;29.90;968.50;1011.50;1013.60;-;-;-;-;-;-;-;-
ALT;202305291320;23.30;0.00;8.00;742.00;48.70;11.90;328.00;17.60;25.60;963.60;1013.10;1015.40;-;-;-;-;-;-;-;-
ARH;202305291320;24.60;0.00;10.00;820.00;37.30;9.10;17.00;17.30;30.20;969.50;1014.40;1016.60;-;-;-;-;-;-;-;-
AND;202305291320;20.90;0.00;2.00;374.00;38.30;6.20;21.00;13.30;21.60;902.60;-;1016.10;1505.00;-;-;-;-;-;-;-
ANT;202305291320;16.50;0.00;10.00;1002.00;60.20;8.80;7.00;24.50;38.50;857.50;-;1019.30;1510.50;-;-;-;-;-;-;-
ARO;202305291320;13.90;0.00;3.00;534.00;54.20;4.80;16.00;9.70;20.50;813.10;-;1020.60;1502.60;-;-;-;-;-;-;-
RAG;202305291320;24.50;0.00;10.00;829.00;35.50;8.30;328.00;21.60;38.90;957.50;1013.10;1016.00;-;-;-;-;-;-;-;-
BAN;202305291320;-;-;10.00;889.00;-;-;-;-;-;-;-;-;-;-;45.00;37.80;51.80;17.40;43.60;4.90
BAS;202305291320;25.50;0.00;10.00;830.00;34.30;8.60;344.00;8.30;21.60;978.80;1014.70;1016.50;-;-;-;-;-;-;-;-
LAT;202305291320;18.20;0.00;0.00;251.00;41.30;4.80;313.00;6.80;17.30;-;-;-;-;-;-;-;-;-;-;-
BER;202305291320;24.10;0.00;10.00;879.00;35.10;7.70;53.00;20.50;37.10;951.10;1012.90;1016.10;-;-;-;-;-;-;-;-
BEZ;202305291320;25.60;0.00;10.00;841.00;30.70;7.10;70.00;11.50;21.20;977.90;1014.80;1016.70;-;-;-;-;-;-;-;-
BIA;202305291320;25.00;0.00;9.00;917.00;47.20;13.00;174.00;22.70;36.40;981.40;1013.00;1014.50;-;-;-;-;-;-;-;-
BIN;202305291320;17.70;0.00;-;-;44.20;5.40;53.00;14.40;33.10;-;-;-;-;-;-;-;-;-;-;-
BIZ;202305291320;24.40;0.00;10.00;815.00;32.50;6.90;27.00;18.70;33.50;957.50;1014.30;1017.20;-;-;-;-;-;-;-;-
BIV;202305291320;13.60;0.00;-;-;56.50;5.10;240.00;11.50;20.90;-;-;-;-;-;-;-;-;-;-;-
BIE;202305291320;22.60;0.00;10.00;917.00;35.20;6.50;42.00;22.30;45.00;936.30;-;1016.10;1518.80;-;-;-;-;-;-;-
BLA;202305291320;18.20;0.00;6.00;633.00;36.20;3.00;65.00;9.40;18.40;846.00;-;1018.40;1498.40;-;-;-;-;-;-;-
BOL;202305291320;23.10;0.00;10.00;872.00;38.90;8.40;48.00;24.50;35.60;921.00;-;1016.00;1515.40;-;-;-;-;-;-;-
BOU;202305291320;20.10;-;-;-;68.50;14.10;323.00;6.50;8.30;969.90;1012.80;1014.20;-;-;-;-;-;-;-;-
BRZ;202305291320;-;0.00;-;-;-;-;105.00;22.00;39.20;948.90;-;1015.40;-;-;-;-;-;-;-;-
BUS;202305291320;24.90;0.00;10.00;856.00;32.20;7.20;43.00;11.90;25.20;970.80;1014.50;1016.70;-;-;-;-;-;-;-;-
BUF;202305291320;14.10;0.00;6.00;637.00;43.20;1.80;155.00;7.90;13.00;803.90;-;1020.40;1495.80;-;-;-;-;-;-;-
FRE;202305291320;18.40;0.00;10.00;964.00;38.70;4.10;57.00;24.50;43.60;881.70;-;1019.20;1519.70;-;-;-;-;-;-;-
CEV;202305291320;24.10;0.00;10.00;857.00;48.00;12.40;210.00;19.80;33.80;965.40;1012.90;1015.20;-;-;-;-;-;-;-;-
