Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305291210;23.60;0.00;10.00;921.00;38.20;8.50;53.00;13.30;28.80;954.00;1014.40;1017.30;-;-;-;-;-;-;-;-
COM;202305291210;21.50;0.00;7.00;853.00;57.80;12.80;146.00;10.80;18.40;948.90;1013.70;1016.40;-;-;-;-;-;-;-;-
ABO;202305291210;19.50;0.00;10.00;1041.00;53.20;9.70;48.00;16.60;27.00;868.20;-;1018.30;1508.00;-;-;-;-;-;-;-
AIG;202305291210;23.60;0.00;10.00;899.00;50.20;12.60;338.00;11.90;21.20;969.10;1012.30;1014.20;-;-;-;-;-;-;-;-
ALT;202305291210;23.50;0.00;10.00;947.00;48.70;12.10;318.00;13.00;29.50;963.80;1013.30;1015.60;-;-;-;-;-;-;-;-
ARH;202305291210;24.50;0.00;10.00;907.00;40.50;10.20;6.00;13.30;23.80;969.40;1014.30;1016.50;-;-;-;-;-;-;-;-
AND;202305291210;21.40;0.00;8.00;841.00;40.40;7.40;15.00;13.70;23.00;902.70;-;1016.20;1506.90;-;-;-;-;-;-;-
ANT;202305291210;14.90;0.00;0.00;355.00;61.30;7.50;1.00;19.80;27.70;857.50;-;1019.30;1510.00;-;-;-;-;-;-;-
ARO;202305291210;12.70;0.00;3.00;505.00;53.00;3.40;347.00;9.70;18.40;813.00;-;1020.50;1503.20;-;-;-;-;-;-;-
RAG;202305291210;23.90;0.00;10.00;919.00;39.30;9.20;337.00;21.20;38.90;957.60;1013.30;1016.10;-;-;-;-;-;-;-;-
BAN;202305291210;-;-;10.00;934.00;-;-;-;-;-;-;-;-;-;-;38.00;41.00;59.00;16.60;48.20;5.60
BAS;202305291210;24.80;0.00;10.00;912.00;39.10;10.00;12.00;5.00;12.60;979.00;1015.00;1016.70;-;-;-;-;-;-;-;-
LAT;202305291210;17.90;0.00;1.00;446.00;45.70;6.00;324.00;6.50;14.80;-;-;-;-;-;-;-;-;-;-;-
BER;202305291210;22.90;0.00;10.00;943.00;37.20;7.50;35.00;22.30;39.60;951.30;1013.40;1016.30;-;-;-;-;-;-;-;-
BEZ;202305291210;24.70;0.00;10.00;924.00;30.60;6.30;35.00;10.80;29.50;977.90;1014.90;1016.70;-;-;-;-;-;-;-;-
BIA;202305291210;23.50;0.00;5.00;647.00;57.60;14.70;164.00;13.70;26.30;982.00;1013.80;1015.10;-;-;-;-;-;-;-;-
BIN;202305291210;17.20;0.00;-;-;44.50;5.00;37.00;15.10;36.40;-;-;-;-;-;-;-;-;-;-;-
BIZ;202305291210;23.80;0.00;10.00;899.00;35.70;7.70;39.00;22.70;38.90;957.40;1014.30;1017.10;-;-;-;-;-;-;-;-
BIV;202305291210;13.10;0.00;-;-;57.10;4.80;222.00;12.20;20.50;-;-;-;-;-;-;-;-;-;-;-
BIE;202305291210;22.40;0.00;10.00;1002.00;35.10;6.20;32.00;20.50;37.80;936.50;-;1016.30;1520.00;-;-;-;-;-;-;-
BLA;202305291210;17.50;0.00;1.00;449.00;39.00;3.40;266.00;6.10;12.60;846.00;-;1018.40;1498.50;-;-;-;-;-;-;-
BOL;202305291210;22.60;0.00;10.00;934.00;42.40;9.20;37.00;18.70;28.10;921.00;-;1016.00;1514.20;-;-;-;-;-;-;-
BOU;202305291210;19.10;-;-;-;61.00;11.40;350.00;6.50;8.30;970.50;1013.60;1014.80;-;-;-;-;-;-;-;-
BRZ;202305291210;-;0.00;-;-;-;-;86.00;22.70;36.70;949.00;-;1015.50;-;-;-;-;-;-;-;-
BUS;202305291210;24.00;0.00;10.00;926.00;33.40;6.90;46.00;13.00;27.00;970.90;1014.70;1016.80;-;-;-;-;-;-;-;-
BUF;202305291210;12.50;0.00;0.00;297.00;49.90;2.30;125.00;6.50;13.00;804.10;-;1020.70;1500.70;-;-;-;-;-;-;-
FRE;202305291210;18.10;0.00;10.00;1007.00;36.00;2.80;58.00;18.40;36.40;881.70;-;1019.20;1519.30;-;-;-;-;-;-;-
CEV;202305291210;23.50;0.00;10.00;930.00;51.40;12.90;206.00;17.60;29.90;965.90;1013.50;1015.70;-;-;-;-;-;-;-;-
CHZ;202305291210;24.10;0.00;10.00;911.00;39.50;9.50;48.00;18.40;33.50;964.20;1014.00;1016.50;-;-;-;-;-;-;-;-
CHA;202305291210;15.20;0.00;10.00;974.00;59.00;7.20;48.00;24.80;38.50;841.90;-;1020.50;1514.40;-;-;-;-;-;-;-
CHM;202305291210;18.40;0.00;10.00;958.00;46.10;6.60;88.00;18.00;32.80;888.90;-;1018.80;1519.10;-;-;-;-;-;-;-
CHU;202305291210;23.80;0.00;10.00;919.00;37.50;8.40;44.00;24.50;49.30;950.00;1012.10;1015.30;-;-;-;-;-;-;-;-
CHD;202305291210;21.00;0.00;7.00;754.00;54.10;11.40;212.00;15.10;27.70;898.50;-;1016.50;1506.80;-;-;-;-;-;-;-
CIM;202305291210;13.60;0.00;10.00;1006.00;65.70;7.30;209.00;6.50;18.70;835.10;-;1020.60;1512.80;-;-;-;-;-;-;-
CDM;202305291210;14.90;0.00;-;-;76.10;10.70;198.00;8.60;16.20;-;-;-;-;-;-;-;-;-;-;-
GSB;202305291210;6.10;0.00;0.00;403.00;73.20;1.70;181.00;7.20;15.80;755.50;-;1022.90;-;3109.20;-;-;-;-;-;-
COY;202305291210;21.70;0.00;-;-;39.80;7.40;55.00;22.30;33.50;-;-;-;-;-;-;-;-;-;-;-
CMA;202305291210;6.00;-;6.00;788.00;71.50;1.20;17.00;20.50;28.10;755.60;-;1022.60;-;3106.70;-;-;-;-;-;-
CRM;202305291210;23.70;0.00;10.00;918.00;39.90;9.30;67.00;19.80;29.50;965.20;1013.80;1016.00;-;-;-;-;-;-;-;-
DAV;202305291210;17.20;0.00;7.00;745.00;43.20;4.60;14.00;13.70;27.70;840.60;-;1019.00;1500.50;-;-;-;-;-;-;-
DEM;202305291210;24.10;0.00;10.00;907.00;35.00;7.70;38.00;19.40;30.60;964.90;1014.40;1016.80;-;-;-;-;-;-;-;-
DIS;202305291210;19.10;0.00;0.00;248.00;37.50;4.30;71.00;8.60;15.50;881.30;-;1017.70;1508.40;-;-;-;-;-;-;-
EBK;202305291210;22.50;0.00;10.00;912.00;39.90;8.20;37.00;8.60;21.60;944.30;-;1017.30;1530.70;-;-;-;-;-;-;-
EGH;202305291210;4.50;-;3.00;595.00;65.20;-1.50;120.00;11.90;23.80;718.70;-;1024.00;-;3107.70;-;-;-;-;-;-
EGO;202305291210;22.80;0.00;10.00;913.00;43.10;9.60;70.00;20.20;34.60;955.40;1014.10;1016.80;-;-;-;-;-;-;-;-
EIN;202305291210;19.30;0.00;10.00;909.00;51.00;8.90;32.00;14.00;26.30;913.00;-;1018.20;1522.70;-;-;-;-;-;-;-
ELM;202305291210;21.20;0.00;10.00;1018.00;45.80;9.10;330.00;14.40;25.20;906.70;-;1017.00;1514.60;-;-;-;-;-;-;-
ENG;202305291210;20.30;0.00;10.00;1036.00;50.60;9.70;284.00;15.80;30.20;899.40;-;1018.40;1522.30;-;-;-;-;-;-;-
EVI;202305291210;23.50;0.00;10.00;976.00;47.70;11.80;333.00;23.40;41.40;958.00;1012.10;1014.70;-;-;-;-;-;-;-;-
EVO;202305291210;14.20;0.00;0.00;349.00;48.10;3.40;266.00;12.20;20.20;817.40;-;1019.70;1497.10;-;-;-;-;-;-;-
FAH;202305291210;21.20;0.00;10.00;995.00;49.50;10.20;62.00;18.00;35.60;948.10;1015.40;1018.20;-;-;-;-;-;-;-;-
FLU;202305291210;18.20;0.00;-;-;53.60;8.60;4.00;16.20;29.90;-;-;-;-;-;-;-;-;-;-;-
GRA;202305291210;22.90;0.00;10.00;987.00;41.10;9.00;24.00;31.00;42.10;940.10;-;1016.10;1521.30;-;-;-;-;-;-;-
FRU;202305291210;22.50;0.00;10.00;927.00;45.50;10.10;50.00;17.30;30.60;-;-;-;-;-;-;-;-;-;-;-
GVE;202305291210;24.10;0.00;10.00;907.00;34.70;7.60;35.00;21.60;34.60;966.50;1012.90;1015.10;-;-;-;-;-;-;-;-
GES;202305291210;20.70;0.00;-;-;53.30;10.90;166.00;4.70;11.20;-;-;-;-;-;-;-;-;-;-;-
GIH;202305291210;23.90;0.00;10.00;882.00;47.40;12.00;65.00;10.40;24.80;960.90;1013.90;1016.50;-;-;-;-;-;-;-;-
GLA;202305291210;24.20;0.00;10.00;967.00;41.30;10.20;330.00;25.20;37.10;955.00;1012.80;1015.80;-;-;-;-;-;-;-;-
GOR;202305291210;2.60;-;0.00;567.00;55.00;-5.50;2.00;5.00;14.40;697.80;-;1024.70;-;3106.00;-;-;-;-;-;-
GRE;202305291210;23.90;0.00;10.00;931.00;37.60;8.60;79.00;28.40;45.00;965.50;1013.80;1016.10;-;-;-;-;-;-;-;-
GRH;202305291210;10.80;0.00;0.00;285.00;62.70;4.00;359.00;5.80;10.80;805.40;-;1021.30;1509.30;-;-;-;-;-;-;-
GRO;202305291210;22.80;0.00;4.00;555.00;53.80;13.00;194.00;8.30;16.20;977.40;1014.30;1015.80;-;-;-;-;-;-;-;-
GRC;202305291210;16.60;0.00;0.00;369.00;35.60;1.30;-;-;-;839.20;-;1018.60;1496.70;-;-;-;-;-;-;-
GOS;202305291210;19.00;0.00;-;-;52.50;9.10;8.00;8.60;23.00;908.00;-;1017.50;1515.00;-;-;-;-;-;-;-
GOE;202305291210;23.80;0.00;10.00;919.00;34.30;7.10;47.00;18.00;34.20;971.40;1014.60;1016.60;-;-;-;-;-;-;-;-
GUE;202305291210;9.00;0.00;2.00;619.00;68.30;3.50;334.00;9.40;15.50;774.20;-;1022.30;1506.10;-;-;-;-;-;-;-
GUT;202305291210;23.70;0.00;10.00;945.00;35.10;7.40;47.00;18.40;27.40;965.10;1014.80;1017.10;-;-;-;-;-;-;-;-
HLL;202305291210;23.90;0.00;10.00;921.00;33.20;6.70;48.00;20.20;35.30;967.70;1015.10;1017.30;-;-;-;-;-;-;-;-
HOE;202305291210;18.00;0.00;10.00;955.00;50.50;7.60;65.00;9.00;30.20;889.70;-;1019.40;1523.40;-;-;-;-;-;-;-
ILZ;202305291210;24.20;0.00;10.00;952.00;36.00;8.20;-;-;-;934.20;-;1015.50;1518.70;-;-;-;-;-;-;-
INT;202305291210;23.20;0.00;10.00;934.00;43.20;10.00;325.00;9.00;15.10;947.90;1012.40;1015.60;-;-;-;-;-;-;-;-
JUN;202305291210;-1.90;-;10.00;1073.00;83.60;-4.30;168.00;15.50;19.40;660.10;-;1025.90;-;3106.10;-;-;-;-;-;-
KOP;202305291210;23.90;0.00;10.00;937.00;35.50;7.70;53.00;29.90;42.50;959.60;1014.10;1016.80;-;-;-;-;-;-;-;-
BRL;202305291210;19.70;0.00;10.00;961.00;33.50;3.20;81.00;24.80;40.70;898.00;-;1018.50;1521.80;-;-;-;-;-;-;-
