Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305291450;24.00;0.00;10.00;630.00;32.60;6.60;35.00;16.90;34.20;953.80;1014.10;1017.10;-;-;-;-;-;-;-;-
COM;202305291450;21.60;0.00;0.00;364.00;54.70;12.10;185.00;10.10;16.20;948.00;1012.70;1015.50;-;-;-;-;-;-;-;-
ABO;202305291450;18.40;0.00;7.00;522.00;49.00;7.50;39.00;13.30;28.10;868.10;-;1018.20;1506.30;-;-;-;-;-;-;-
AIG;202305291450;22.10;0.00;0.00;89.00;52.10;11.80;19.00;19.10;26.30;968.10;1011.50;1013.20;-;-;-;-;-;-;-;-
ALT;202305291450;24.50;0.00;4.00;441.00;41.60;10.60;314.00;13.70;23.00;963.30;1012.60;1015.10;-;-;-;-;-;-;-;-
ARH;202305291450;24.20;0.00;10.00;635.00;39.00;9.40;22.00;16.20;30.60;969.20;1014.10;1016.30;-;-;-;-;-;-;-;-
AND;202305291450;22.40;0.00;9.00;724.00;33.90;5.70;10.00;14.80;25.20;902.50;-;1016.00;1506.90;-;-;-;-;-;-;-
ANT;202305291450;17.10;0.00;10.00;789.00;55.30;8.10;52.00;13.70;41.00;857.20;-;1018.90;1507.70;-;-;-;-;-;-;-
ARO;202305291450;12.80;0.00;1.00;235.00;57.20;4.60;327.00;9.70;18.40;813.20;-;1020.70;1505.10;-;-;-;-;-;-;-
RAG;202305291450;24.30;0.00;6.00;400.00;35.10;7.90;319.00;27.00;45.40;957.30;1012.90;1015.80;-;-;-;-;-;-;-;-
BAN;202305291450;-;-;10.00;696.00;-;-;-;-;-;-;-;-;-;-;55.00;44.30;56.90;18.10;38.40;3.70
BAS;202305291450;26.80;0.00;10.00;683.00;25.30;5.30;83.00;12.20;25.90;978.10;1013.80;1015.80;-;-;-;-;-;-;-;-
LAT;202305291450;18.10;0.00;1.00;242.00;44.80;5.90;305.00;6.10;19.80;-;-;-;-;-;-;-;-;-;-;-
BER;202305291450;24.40;0.00;10.00;678.00;33.50;7.30;45.00;19.10;36.40;950.70;1012.40;1015.70;-;-;-;-;-;-;-;-
BEZ;202305291450;26.00;0.00;10.00;653.00;26.00;5.00;80.00;9.70;23.80;977.40;1014.20;1016.20;-;-;-;-;-;-;-;-
BIA;202305291450;24.10;0.00;0.00;282.00;46.80;12.00;179.00;25.60;39.20;980.70;1012.30;1013.80;-;-;-;-;-;-;-;-
BIN;202305291450;18.00;0.00;-;-;40.80;4.50;43.00;8.60;24.10;-;-;-;-;-;-;-;-;-;-;-
BIZ;202305291450;24.00;0.00;10.00;621.00;30.50;5.60;35.00;21.60;35.60;957.20;1014.10;1016.90;-;-;-;-;-;-;-;-
BIV;202305291450;13.70;0.00;-;-;52.90;4.30;268.00;16.20;34.60;-;-;-;-;-;-;-;-;-;-;-
BIE;202305291450;23.10;0.00;10.00;721.00;34.40;6.60;41.00;15.80;33.80;935.80;-;1015.50;1515.70;-;-;-;-;-;-;-
BLA;202305291450;18.40;0.00;7.00;540.00;32.80;1.80;34.00;10.80;21.60;845.60;-;1018.00;1494.30;-;-;-;-;-;-;-
BOL;202305291450;22.80;0.00;10.00;659.00;42.00;9.20;43.00;16.90;27.40;920.80;-;1015.80;1512.80;-;-;-;-;-;-;-
BOU;202305291450;23.40;-;-;-;46.90;11.40;261.00;22.30;29.20;969.00;1011.30;1013.20;-;-;-;-;-;-;-;-
BRZ;202305291450;-;0.00;-;-;-;-;82.00;18.00;29.20;948.60;-;1015.10;-;-;-;-;-;-;-;-
BUS;202305291450;25.00;0.00;10.00;680.00;29.90;6.20;49.00;13.30;28.80;970.40;1014.10;1016.30;-;-;-;-;-;-;-;-
BUF;202305291450;14.60;0.00;10.00;765.00;45.00;2.80;126.00;13.70;24.50;803.70;-;1020.20;1492.80;-;-;-;-;-;-;-
FRE;202305291450;17.90;0.00;10.00;762.00;38.20;3.50;63.00;25.60;40.30;881.40;-;1018.80;1516.20;-;-;-;-;-;-;-
CEV;202305291450;23.50;0.00;10.00;685.00;49.30;12.30;222.00;24.10;35.60;964.70;1012.20;1014.40;-;-;-;-;-;-;-;-
CHZ;202305291450;24.50;0.00;10.00;650.00;34.80;8.00;36.00;17.60;35.60;963.80;1013.50;1016.10;-;-;-;-;-;-;-;-
CHA;202305291450;15.20;0.00;10.00;727.00;43.80;3.00;44.00;38.50;51.80;841.60;-;1020.20;1511.30;-;-;-;-;-;-;-
CHM;202305291450;19.50;0.00;10.00;693.00;39.90;5.50;76.00;17.60;41.80;888.50;-;1018.40;1516.80;-;-;-;-;-;-;-
CHU;202305291450;25.00;0.00;10.00;662.00;34.50;8.30;31.00;24.50;38.20;949.60;1011.40;1014.90;-;-;-;-;-;-;-;-
CHD;202305291450;21.10;0.00;4.00;315.00;43.50;8.20;40.00;6.50;13.30;898.30;-;1016.20;1505.10;-;-;-;-;-;-;-
CIM;202305291450;13.90;0.00;10.00;770.00;74.20;9.40;142.00;6.50;11.20;834.70;-;1020.10;1508.60;-;-;-;-;-;-;-
CDM;202305291450;15.70;0.00;-;-;63.20;8.70;42.00;8.60;15.50;-;-;-;-;-;-;-;-;-;-;-
GSB;202305291450;7.90;0.00;10.00;773.00;58.90;0.40;283.00;16.60;27.40;755.20;-;1022.50;-;3110.20;-;-;-;-;-;-
COY;202305291450;22.60;0.00;-;-;34.40;6.10;81.00;22.30;35.30;-;-;-;-;-;-;-;-;-;-;-
CMA;202305291450;6.00;-;10.00;688.00;76.80;2.20;5.00;29.20;42.50;755.60;-;1022.60;-;3106.70;-;-;-;-;-;-
CRM;202305291450;24.60;0.00;10.00;667.00;35.10;8.20;75.00;20.90;32.00;964.40;1012.80;1015.20;-;-;-;-;-;-;-;-
DAV;202305291450;17.10;0.00;10.00;754.00;43.90;4.70;17.00;16.60;31.70;840.60;-;1019.00;1500.50;-;-;-;-;-;-;-
DEM;202305291450;25.70;0.00;10.00;667.00;26.30;4.90;72.00;16.60;33.80;964.10;1013.20;1015.90;-;-;-;-;-;-;-;-
DIS;202305291450;19.80;0.00;5.00;408.00;41.60;6.40;86.00;5.40;13.70;880.90;-;1017.30;1505.30;-;-;-;-;-;-;-
EBK;202305291450;23.00;0.00;10.00;660.00;35.40;6.90;24.00;13.00;25.60;944.30;-;1017.30;1532.30;-;-;-;-;-;-;-
EGH;202305291450;6.50;-;7.00;630.00;61.70;-0.30;138.00;5.00;13.00;718.90;-;1024.20;-;3111.60;-;-;-;-;-;-
EGO;202305291450;23.60;0.00;10.00;653.00;34.40;7.00;55.00;20.50;33.50;955.00;1013.50;1016.40;-;-;-;-;-;-;-;-
EIN;202305291450;20.30;0.00;10.00;687.00;44.80;7.90;21.00;22.00;32.40;912.80;-;1018.00;1523.00;-;-;-;-;-;-;-
ELM;202305291450;20.50;0.00;1.00;259.00;44.40;8.00;346.00;6.10;12.60;906.80;-;1017.10;1514.10;-;-;-;-;-;-;-
ENG;202305291450;20.80;0.00;9.00;694.00;43.50;7.90;243.00;18.40;33.80;899.00;-;1018.00;1519.40;-;-;-;-;-;-;-
EVI;202305291450;24.90;0.00;5.00;428.00;43.90;11.80;351.00;14.00;33.80;957.00;1010.80;1013.70;-;-;-;-;-;-;-;-
EVO;202305291450;14.60;0.00;0.00;255.00;46.90;3.40;281.00;6.50;13.30;817.10;-;1019.40;1493.50;-;-;-;-;-;-;-
FAH;202305291450;22.90;0.00;10.00;727.00;44.30;10.10;46.00;14.40;29.90;947.30;1014.10;1017.30;-;-;-;-;-;-;-;-
FLU;202305291450;20.60;0.00;-;-;41.60;7.10;4.00;22.00;36.40;-;-;-;-;-;-;-;-;-;-;-
GRA;202305291450;23.50;0.00;10.00;710.00;37.10;8.00;36.00;29.20;45.40;939.40;-;1015.40;1516.80;-;-;-;-;-;-;-
FRU;202305291450;23.10;0.00;10.00;736.00;43.30;10.00;46.00;21.60;31.70;-;-;-;-;-;-;-;-;-;-;-
GVE;202305291450;25.70;0.00;10.00;674.00;33.30;8.40;38.00;22.30;35.60;965.30;1011.40;1013.90;-;-;-;-;-;-;-;-
GES;202305291450;23.90;0.00;-;-;38.70;9.00;58.00;11.50;23.00;-;-;-;-;-;-;-;-;-;-;-
GIH;202305291450;24.10;0.00;5.00;355.00;43.50;10.90;48.00;11.20;23.80;960.20;1013.10;1015.80;-;-;-;-;-;-;-;-
GLA;202305291450;23.50;0.00;0.00;226.00;38.70;8.60;299.00;20.90;27.00;954.80;1012.80;1015.60;-;-;-;-;-;-;-;-
GOR;202305291450;3.90;-;6.00;517.00;59.50;-3.30;80.00;6.80;16.20;697.80;-;1024.70;-;3105.80;-;-;-;-;-;-
GRE;202305291450;25.00;0.00;10.00;677.00;33.00;7.60;50.00;23.00;33.10;964.90;1013.00;1015.50;-;-;-;-;-;-;-;-
GRH;202305291450;11.50;0.00;8.00;741.00;69.10;6.00;360.00;16.90;27.70;805.50;-;1021.40;1509.20;-;-;-;-;-;-;-
GRO;202305291450;22.80;0.00;2.00;252.00;59.10;14.40;137.00;11.50;17.60;976.20;1013.10;1014.60;-;-;-;-;-;-;-;-
GRC;202305291450;18.30;0.00;10.00;637.00;31.10;0.90;-;-;-;838.70;-;1018.00;1490.90;-;-;-;-;-;-;-
GOS;202305291450;21.00;0.00;-;-;43.70;8.20;358.00;18.40;33.50;907.10;-;1016.60;1510.70;-;-;-;-;-;-;-
GOE;202305291450;24.90;0.00;10.00;660.00;32.30;7.20;48.00;15.80;32.40;970.80;1013.80;1015.90;-;-;-;-;-;-;-;-
GUE;202305291450;9.80;0.00;10.00;835.00;71.90;5.00;340.00;25.60;40.30;774.10;-;1022.20;1502.70;-;-;-;-;-;-;-
GUT;202305291450;24.40;0.00;10.00;645.00;31.20;6.30;55.00;19.80;31.70;964.80;1014.40;1016.80;-;-;-;-;-;-;-;-
HLL;202305291450;24.80;0.00;10.00;682.00;25.30;3.60;80.00;0.40;1.80;967.20;1014.40;1016.80;-;-;-;-;-;-;-;-
HOE;202305291450;18.30;0.00;10.00;675.00;42.90;5.50;63.00;10.80;38.20;889.70;-;1019.40;1523.80;-;-;-;-;-;-;-
ILZ;202305291450;24.70;0.00;10.00;628.00;32.60;7.20;-;-;-;933.70;-;1015.00;1515.50;-;-;-;-;-;-;-
INT;202305291450;25.00;0.00;9.00;646.00;37.10;9.30;46.00;16.20;22.30;947.20;1011.30;1014.90;-;-;-;-;-;-;-;-
JUN;202305291450;-0.30;-;10.00;800.00;71.60;-4.80;168.00;4.30;11.20;660.50;-;1026.50;-;3108.20;-;-;-;-;-;-
KOP;202305291450;25.00;0.00;10.00;678.00;28.30;5.40;52.00;23.40;33.80;959.00;1013.30;1016.20;-;-;-;-;-;-;-;-
BRL;202305291450;19.90;0.00;10.00;694.00;41.80;6.50;53.00;23.40;34.60;897.50;-;1018.00;1517.40;-;-;-;-;-;-;-
CDF;202305291450;20.10;0.00;10.00;699.00;39.40;5.90;44.00;25.60;40.00;901.00;-;1018.00;1518.60;-;-;-;-;-;-;-
DOL;202305291450;13.90;0.00;10.00;721.00;43.90;1.80;76.00;34.20;46.40;833.00;-;1019.20;1500.10;-;-;-;-;-;-;-
LAC;202305291450;24.00;0.00;-;-;38.90;9.20;-;-;-;-;-;-;-;-;-;-;-;-;-;-
LAG;202305291450;22.80;0.00;10.00;672.00;37.70;7.60;152.00;8.60;19.80;930.40;-;1017.00;1525.50;-;-;-;-;-;-;-
MLS;202305291450;12.30;0.00;10.00;713.00;66.20;6.20;23.00;15.10;40.00;803.50;-;1020.70;1501.00;-;-;-;-;-;-;-
LEI;202305291450;25.30;0.00;10.00;671.00;30.40;6.70;76.00;14.80;27.40;975.60;1014.20;1016.20;-;-;-;-;-;-;-;-
ATT;202305291450;6.60;-;3.00;548.00;67.00;0.90;24.00;2.50;8.60;732.60;-;1023.20;-;3107.80;-;-;-;-;-;-
CHB;202305291450;19.10;0.00;-;-;35.90;3.70;43.00;33.10;49.00;897.50;-;1017.40;1511.10;-;-;-;-;-;-;-
DIA;202305291450;3.40;-;0.00;146.00;92.30;2.30;28.00;15.80;26.60;712.20;-;1024.00;-;3105.00;-;-;-;-;-;-
MAR;202305291450;19.80;0.00;-;-;57.40;11.10;89.00;5.00;16.60;-;-;-;-;-;-;-;-;-;-;-
OTL;202305291450;23.20;0.00;10.00;674.00;46.50;11.10;265.00;9.00;15.10;970.90;1013.30;1015.10;-;-;-;-;-;-;-;-
LUG;202305291450;23.40;0.00;10.00;641.00;46.70;11.40;189.00;4.00;8.30;979.30;1013.50;1015.00;-;-;-;-;-;-;-;-
LUZ;202305291450;25.30;0.00;10.00;585.00;34.10;8.40;15.00;20.20;31.30;962.30;1013.20;1016.00;-;-;-;-;-;-;-;-
LAE;202305291450;19.80;-;10.00;673.00;36.60;4.50;40.00;23.40;40.30;920.10;-;1018.00;1523.50;-;-;-;-;-;-;-
MAG;202305291450;24.60;0.00;10.00;709.00;51.70;14.00;246.00;13.70;21.60;990.00;1013.30;1014.40;-;-;-;-;-;-;-;-
MAS;202305291450;23.00;0.00;-;-;41.00;9.00;9.00;25.60;46.10;-;-;-;-;-;-;-;-;-;-;-
MAH;202305291450;25.10;0.00;10.00;689.00;34.60;8.40;42.00;27.00;42.80;963.20;1012.00;1014.60;-;-;-;-;-;-;-;-
MTR;202305291450;9.40;-;2.00;434.00;75.80;5.40;132.00;5.00;15.10;783.50;-;1022.10;1508.50;-;-;-;-;-;-;-
MER;202305291450;24.00;0.00;8.00;673.00;37.00;8.40;274.00;21.20;51.50;946.30;1011.80;1015.20;-;-;-;-;-;-;-;-
MOB;202305291450;22.90;0.00;-;-;41.90;9.30;315.00;10.10;17.30;917.60;-;1014.60;1502.20;-;-;-;-;-;-;-
MVE;202305291450;19.10;0.00;10.00;758.00;42.50;6.10;231.00;11.90;21.20;856.90;-;1017.20;1493.80;-;-;-;-;-;-;-
GEN;202305291450;12.90;0.00;1.00;264.00;79.30;9.40;269.00;3.20;8.60;841.20;-;1020.40;1513.70;-;-;-;-;-;-;-
MRP;202305291450;6.30;-;10.00;818.00;47.10;-4.10;157.00;5.00;7.60;719.00;-;1023.60;-;3106.40;-;-;-;-;-;-
MOA;202305291450;24.70;0.00;10.00;662.00;32.90;7.30;18.00;20.50;34.90;962.90;1013.80;1016.40;-;-;-;-;-;-;-;-
MTE;202305291450;18.30;0.00;8.00;531.00;33.80;2.10;10.00;6.50;13.70;841.10;-;1017.80;1490.50;-;-;-;-;-;-;-
MOE;202305291450;25.20;0.00;10.00;676.00;29.60;6.20;90.00;18.40;38.20;975.40;1014.20;1016.10;-;-;-;-;-;-;-;-
MUB;202305291450;24.30;0.00;10.00;699.00;34.60;7.70;36.00;14.40;39.60;958.90;1012.70;1015.50;-;-;-;-;-;-;-;-
NAS;202305291450;9.60;-;10.00;834.00;46.10;-1.40;14.00;24.80;31.70;765.00;-;1022.00;-;3112.80;-;-;-;-;-;-
NAP;202305291450;17.30;0.00;10.00;685.00;47.10;5.90;337.00;14.00;33.10;861.00;-;1019.60;1515.10;-;-;-;-;-;-;-
NEU;202305291450;25.10;0.00;10.00;679.00;27.50;5.10;76.00;22.70;41.00;958.30;1012.40;1015.40;-;-;-;-;-;-;-;-
CGI;202305291450;25.00;0.00;10.00;679.00;33.50;7.80;39.00;24.10;42.80;960.10;1011.40;1014.10;-;-;-;-;-;-;-;-
OBR;202305291450;24.90;0.00;-;-;35.70;8.70;356.00;20.50;41.00;967.50;1013.50;1015.90;-;-;-;-;-;-;-;-
AEG;202305291450;-;-;-;-;-;-;36.00;9.70;26.30;-;-;-;-;-;-;-;-;-;-;-
ORO;202305291450;22.20;0.00;10.00;654.00;39.20;7.70;35.00;28.80;42.50;919.90;-;1015.80;1511.20;-;-;-;-;-;-;-
BEH;202305291450;9.70;0.00;10.00;720.00;66.90;3.90;232.00;4.70;9.40;776.70;-;1022.20;1504.50;-;-;-;-;-;-;-
PAY;202305291450;24.40;0.00;10.00;673.00;32.40;6.80;54.00;21.60;38.20;957.40;1012.20;1015.00;-;-;-;-;-;-;-;-
PIL;202305291450;10.40;0.00;7.00;604.00;66.10;4.40;35.00;28.10;40.70;792.00;-;1022.20;1510.60;-;-;-;-;-;-;-
PIO;202305291450;20.80;0.00;10.00;765.00;49.90;10.00;92.00;15.10;22.30;902.60;-;1016.40;1507.50;-;-;-;-;-;-;-
COV;202305291450;0.10;0.30;0.00;65.00;92.80;-0.90;86.00;16.20;23.00;683.30;-;1025.40;-;3108.30;-;-;-;-;-;-
PMA;202305291450;4.70;0.00;0.00;151.00;75.20;0.70;323.00;13.00;22.00;738.80;-;1023.30;-;3107.50;-;-;-;-;-;-
PLF;202305291450;19.80;0.00;10.00;707.00;44.10;7.20;43.00;18.70;35.30;897.70;-;1017.40;1512.10;-;-;-;-;-;-;-
ROB;202305291450;18.60;0.00;1.00;368.00;56.20;9.70;236.00;5.40;11.50;894.00;-;1017.60;1510.60;-;-;-;-;-;-;-
PUY;202305291450;25.40;0.00;10.00;670.00;33.80;8.30;26.00;13.70;35.60;960.20;1011.10;1013.90;-;-;-;-;-;-;-;-
QUI;202305291450;-;-;-;-;-;-;254.00;2.90;5.40;965.50;-;1015.10;-;-;-;-;-;-;-;-
ROE;202305291450;12.70;0.00;6.00;603.00;56.70;4.30;151.00;10.40;14.80;811.40;-;1020.70;1504.00;-;-;-;-;-;-;-
RUE;202305291450;22.90;0.00;10.00;679.00;30.50;4.70;54.00;23.00;35.60;945.60;-;1017.30;1532.40;-;-;-;-;-;-;-
SBE;202305291450;11.90;0.00;0.00;65.00;75.80;7.80;134.00;4.30;6.50;837.40;-;1020.60;1514.70;-;-;-;-;-;-;-
HAI;202305291450;22.90;0.00;10.00;648.00;32.00;5.30;55.00;22.70;37.10;934.50;-;1018.30;1538.20;-;-;-;-;-;-;-
SAM;202305291450;14.00;0.00;1.00;299.00;55.30;5.20;193.00;22.30;31.70;828.90;-;1019.00;1497.20;-;-;-;-;-;-;-
SAG;202305291450;22.30;0.00;-;-;38.70;7.60;51.00;13.30;27.00;925.50;-;1017.30;1525.20;-;-;-;-;-;-;-
SHA;202305291450;24.70;0.00;10.00;669.00;22.80;2.10;62.00;24.10;41.40;965.20;1014.60;1017.10;-;-;-;-;-;-;-;-
SRS;202305291450;23.80;0.00;-;-;41.00;9.80;271.00;18.00;31.00;-;-;-;-;-;-;-;-;-;-;-
SCM;202305291450;-;-;-;-;-;-;72.00;19.40;36.00;967.70;-;1015.90;-;-;-;-;-;-;-;-
SPF;202305291450;22.90;0.00;10.00;683.00;36.20;7.10;36.00;22.00;36.00;930.50;-;1017.20;1527.30;-;-;-;-;-;-;-
SCU;202305291450;19.40;0.00;1.00;274.00;36.00;4.00;28.00;5.80;17.30;869.40;-;1017.20;1499.20;-;-;-;-;-;-;-
SIA;202305291450;12.00;0.00;0.00;131.00;64.90;5.60;257.00;19.10;31.70;820.10;-;1020.00;1503.60;-;-;-;-;-;-;-
SIM;202305291450;17.30;0.00;10.00;688.00;51.50;7.20;122.00;15.50;24.10;853.00;-;1018.60;1503.20;-;-;-;-;-;-;-
SIO;202305291450;27.30;0.00;10.00;700.00;35.20;10.60;245.00;26.60;35.60;955.30;1008.60;1011.90;-;-;-;-;-;-;-;-
PRE;202305291450;-;-;-;-;-;-;23.00;25.90;39.20;-;-;-;-;-;-;-;-;-;-;-
STC;202305291450;-;-;10.00;775.00;-;-;-;-;-;-;-;-;-;-;89.00;27.40;38.20;21.90;26.90;2.00
STG;202305291450;21.70;0.00;10.00;640.00;38.50;7.00;27.00;15.10;29.50;927.80;-;1018.10;1530.90;-;-;-;-;-;-;-
SMM;202305291450;19.00;0.00;6.00;516.00;38.90;4.70;20.00;6.50;10.10;861.20;-;1017.70;1499.50;-;-;-;-;-;-;-
SBO;202305291450;23.80;0.00;10.00;598.00;50.20;12.80;237.00;6.80;12.20;973.50;1013.40;1015.20;-;-;-;-;-;-;-;-
STK;202305291450;-;-;-;-;-;-;46.00;28.80;37.10;969.60;-;1016.70;-;-;-;-;-;-;-;-
SAE;202305291450;4.80;0.00;1.00;421.00;86.60;2.80;35.00;18.00;28.40;755.70;-;1023.90;-;3115.00;-;-;-;-;-;-
THU;202305291450;24.00;0.00;1.00;304.00;38.00;8.80;45.00;11.50;21.60;948.60;1012.10;1015.40;-;-;-;-;-;-;-;-
TIT;202305291450;2.00;-;10.00;685.00;86.40;0.00;127.00;3.60;12.60;701.40;-;1025.50;-;3114.00;-;-;-;-;-;-
UEB;202305291450;-;-;10.00;663.00;-;-;-;-;-;-;-;-;-;-;67.00;43.60;55.10;18.50;35.10;2.80
ULR;202305291450;19.90;0.00;10.00;714.00;40.90;6.20;46.00;13.00;20.90;865.40;-;1017.70;1501.90;-;-;-;-;-;-;-
VAD;202305291450;25.20;0.00;10.00;682.00;34.60;8.50;345.00;16.60;33.50;961.80;1013.00;1015.80;-;-;-;-;-;-;-;-
VAB;202305291450;14.00;0.00;0.00;188.00;57.50;5.80;334.00;25.20;36.70;843.90;-;1019.70;1508.40;-;-;-;-;-;-;-
VLS;202305291450;20.00;0.00;7.00;581.00;38.80;5.60;29.00;5.80;19.40;-;-;-;-;-;-;-;-;-;-;-
VEV;202305291450;26.50;0.00;10.00;677.00;32.10;8.50;1.00;7.90;22.00;-;-;-;-;-;-;-;-;-;-;-
VIO;202305291450;17.80;0.00;3.00;502.00;63.20;10.70;239.00;12.60;22.30;893.40;-;1018.20;1514.10;-;-;-;-;-;-;-
