Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
DIS;202305281820;16.00;0.00;0.00;31.00;51.20;5.90;30.00;4.30;11.20;881.10;-;1017.50;1503.00;-;-;-;-;-;-;-
EBK;202305281820;20.50;0.00;3.00;68.00;40.50;6.60;23.00;6.10;14.00;943.30;-;1016.20;1515.20;-;-;-;-;-;-;-
EGH;202305281820;3.40;-;0.00;42.00;65.10;-2.50;210.00;2.90;6.80;717.80;-;1022.80;-;3096.70;-;-;-;-;-;-
EGO;202305281820;20.90;0.00;10.00;80.00;44.30;8.30;72.00;9.70;15.50;953.90;1012.90;1015.20;-;-;-;-;-;-;-;-
EIN;202305281820;17.40;0.00;3.00;74.00;51.10;7.20;31.00;11.20;17.60;911.90;-;1017.00;1508.30;-;-;-;-;-;-;-
ELM;202305281820;16.10;0.00;0.00;23.00;60.70;8.50;228.00;3.20;6.50;906.60;-;1016.90;1503.50;-;-;-;-;-;-;-
ENG;202305281820;17.00;0.00;0.00;60.00;53.10;7.40;283.00;8.30;18.00;898.30;-;1017.20;1506.20;-;-;-;-;-;-;-
EVI;202305281820;22.10;0.00;0.00;58.00;41.00;8.20;308.00;10.40;17.30;956.50;1010.80;1013.20;-;-;-;-;-;-;-;-
EVO;202305281820;11.10;0.00;5.00;61.00;60.20;3.70;68.00;2.50;4.70;816.90;-;1019.10;1495.70;-;-;-;-;-;-;-
FAH;202305281820;19.30;0.00;10.00;102.00;51.40;9.00;47.00;7.90;15.10;946.20;1013.80;1016.20;-;-;-;-;-;-;-;-
FLU;202305281820;17.80;0.00;-;-;48.70;6.90;360.00;12.60;18.70;-;-;-;-;-;-;-;-;-;-;-
GRA;202305281820;20.60;0.00;6.00;84.00;40.40;6.70;45.00;20.90;29.50;938.90;-;1014.90;1503.30;-;-;-;-;-;-;-
FRU;202305281820;18.90;0.00;0.00;38.00;52.50;9.00;14.00;7.20;13.00;-;-;-;-;-;-;-;-;-;-;-
GVE;202305281820;22.10;0.00;0.00;42.00;47.40;10.40;12.00;6.10;13.30;964.90;1011.60;1013.50;-;-;-;-;-;-;-;-
GES;202305281820;20.90;0.00;-;-;43.30;8.00;5.00;13.30;24.50;-;-;-;-;-;-;-;-;-;-;-
GIH;202305281820;19.20;0.00;0.00;42.00;60.60;11.40;273.00;5.00;7.90;959.50;1013.30;1015.00;-;-;-;-;-;-;-;-
GLA;202305281820;21.20;0.00;0.00;48.00;44.50;8.60;301.00;18.70;28.80;954.00;1012.40;1014.80;-;-;-;-;-;-;-;-
GOR;202305281820;2.20;-;2.00;123.00;70.80;-2.50;144.00;6.50;14.00;696.90;-;1023.40;-;3095.50;-;-;-;-;-;-
GRE;202305281820;20.40;0.00;0.00;67.00;49.20;9.40;33.00;11.50;15.80;964.10;1013.00;1014.70;-;-;-;-;-;-;-;-
GRH;202305281820;9.40;0.00;0.00;42.00;66.60;3.50;333.00;15.80;23.40;804.80;-;1020.60;1505.40;-;-;-;-;-;-;-
GRO;202305281820;20.10;0.00;0.00;17.00;77.80;16.10;282.00;1.80;8.30;975.30;1012.50;1013.70;-;-;-;-;-;-;-;-
GRC;202305281820;15.10;0.00;0.00;75.00;45.50;3.40;-;-;-;838.60;-;1017.90;1491.20;-;-;-;-;-;-;-
GOS;202305281820;16.30;0.00;-;-;60.30;8.60;171.00;4.30;6.80;906.90;-;1016.30;1499.30;-;-;-;-;-;-;-
GOE;202305281820;21.80;0.00;10.00;92.00;43.90;9.00;69.00;7.20;14.40;969.70;1013.10;1014.80;-;-;-;-;-;-;-;-
GUE;202305281820;6.90;0.00;0.00;45.00;70.90;2.00;6.00;11.50;16.90;773.30;-;1021.20;1502.40;-;-;-;-;-;-;-
GUT;202305281820;21.00;0.00;8.00;71.00;40.50;7.10;37.00;10.80;19.10;963.80;1013.90;1015.80;-;-;-;-;-;-;-;-
HLL;202305281820;21.00;0.00;10.00;75.00;32.20;3.80;0.00;0.00;1.10;966.20;1014.00;1015.70;-;-;-;-;-;-;-;-
HOE;202305281820;14.90;0.00;3.00;72.00;52.00;5.10;72.00;11.90;27.70;888.60;-;1018.10;1508.60;-;-;-;-;-;-;-
ILZ;202305281820;20.40;0.00;0.00;32.00;41.60;6.90;-;-;-;934.20;-;1015.50;1507.50;-;-;-;-;-;-;-
INT;202305281820;18.70;0.00;0.00;49.00;61.00;11.00;195.00;17.60;25.20;946.90;1012.40;1014.60;-;-;-;-;-;-;-;-
JUN;202305281820;-2.20;-;4.00;106.00;95.30;-2.80;316.00;10.10;14.00;659.40;-;1024.90;-;3098.10;-;-;-;-;-;-
KOP;202305281820;20.60;0.00;10.00;51.00;45.20;8.30;52.00;13.00;16.60;958.10;1013.20;1015.20;-;-;-;-;-;-;-;-
BRL;202305281820;15.40;0.00;0.00;84.00;61.70;8.10;63.00;14.00;22.00;896.80;-;1017.20;1503.30;-;-;-;-;-;-;-
CDF;202305281820;16.90;0.00;0.00;53.00;54.10;7.60;28.00;14.40;23.40;900.20;-;1017.10;1505.30;-;-;-;-;-;-;-
DOL;202305281820;11.90;0.00;10.00;96.00;46.10;0.70;62.00;19.80;28.80;832.80;-;1018.90;1499.30;-;-;-;-;-;-;-
LAC;202305281820;21.20;0.00;-;-;44.10;8.50;-;-;-;-;-;-;-;-;-;-;-;-;-;-
LAG;202305281820;19.70;0.00;10.00;73.00;45.60;7.60;162.00;4.30;10.40;929.60;-;1016.10;1509.50;-;-;-;-;-;-;-
MLS;202305281820;9.50;0.00;10.00;84.00;65.10;3.30;26.00;23.80;33.10;802.80;-;1019.90;1498.50;-;-;-;-;-;-;-
LEI;202305281820;21.50;0.00;10.00;79.00;40.40;7.50;63.00;10.10;16.90;974.70;1013.80;1015.20;-;-;-;-;-;-;-;-
ATT;202305281820;4.00;-;10.00;95.00;81.20;1.10;171.00;5.80;8.30;731.90;-;1022.30;-;3096.50;-;-;-;-;-;-
CHB;202305281820;16.30;0.00;-;-;43.60;3.90;46.00;22.00;33.10;897.00;-;1016.80;1501.70;-;-;-;-;-;-;-
DIA;202305281820;1.50;-;0.00;0.00;100.00;1.50;352.00;5.40;9.40;711.50;-;1023.00;-;3096.10;-;-;-;-;-;-
