Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305291200;23.10;0.00;10.00;927.00;36.50;7.40;47.00;14.40;27.70;954.00;1014.50;1017.30;-;-;-;-;-;-;-;-
COM;202305291200;20.60;0.00;3.00;605.00;57.80;12.00;153.00;7.90;19.80;949.10;1014.10;1016.60;-;-;-;-;-;-;-;-
ABO;202305291200;18.00;0.00;10.00;1022.00;50.10;7.50;43.00;13.30;23.80;868.20;-;1018.30;1507.00;-;-;-;-;-;-;-
AIG;202305291200;23.30;0.00;10.00;900.00;53.10;13.20;336.00;12.20;22.70;969.20;1012.40;1014.30;-;-;-;-;-;-;-;-
ALT;202305291200;22.50;0.00;10.00;957.00;52.80;12.40;298.00;10.40;22.70;963.90;1013.60;1015.70;-;-;-;-;-;-;-;-
ARH;202305291200;23.50;0.00;10.00;910.00;43.90;10.50;335.00;7.90;20.20;969.50;1014.60;1016.60;-;-;-;-;-;-;-;-
AND;202305291200;21.70;0.00;9.00;891.00;38.90;7.10;6.00;10.80;20.90;902.80;-;1016.30;1508.40;-;-;-;-;-;-;-
ANT;202305291200;14.80;0.00;0.00;338.00;61.90;7.60;4.00;18.70;26.60;857.50;-;1019.30;1510.00;-;-;-;-;-;-;-
ARO;202305291200;12.40;0.00;0.00;233.00;55.20;3.70;352.00;10.80;20.90;813.10;-;1020.60;1504.60;-;-;-;-;-;-;-
RAG;202305291200;23.70;0.00;10.00;922.00;40.80;9.60;340.00;21.60;37.40;957.60;1013.30;1016.10;-;-;-;-;-;-;-;-
BAN;202305291200;-;-;10.00;953.00;-;-;-;-;-;-;-;-;-;-;50.00;36.70;52.90;16.70;47.90;5.60
BAS;202305291200;24.90;0.00;10.00;916.00;41.10;10.80;8.00;7.60;18.40;979.10;1015.00;1016.80;-;-;-;-;-;-;-;-
LAT;202305291200;17.50;0.00;0.00;272.00;43.90;5.10;320.00;8.30;19.10;-;-;-;-;-;-;-;-;-;-;-
BER;202305291200;23.20;0.00;10.00;944.00;38.70;8.40;36.00;23.80;40.70;951.20;1013.20;1016.20;-;-;-;-;-;-;-;-
BEZ;202305291200;24.90;0.00;10.00;931.00;31.60;6.90;50.00;8.60;19.80;977.90;1014.90;1016.70;-;-;-;-;-;-;-;-
BIA;202305291200;22.30;0.00;1.00;426.00;59.00;13.90;167.00;10.80;20.90;982.20;1014.10;1015.30;-;-;-;-;-;-;-;-
BIN;202305291200;17.50;0.00;-;-;46.20;5.80;61.00;18.40;37.40;-;-;-;-;-;-;-;-;-;-;-
BIZ;202305291200;23.60;0.00;10.00;910.00;36.70;7.90;51.00;22.70;38.20;957.40;1014.40;1017.10;-;-;-;-;-;-;-;-
BIV;202305291200;13.60;0.00;-;-;50.20;3.40;174.00;5.80;15.50;-;-;-;-;-;-;-;-;-;-;-
BIE;202305291200;22.30;0.00;10.00;1008.00;34.80;6.00;35.00;19.40;35.30;936.50;-;1016.30;1519.70;-;-;-;-;-;-;-
BLA;202305291200;17.10;0.00;2.00;450.00;42.00;4.10;234.00;7.60;17.60;846.00;-;1018.40;1498.60;-;-;-;-;-;-;-
BOL;202305291200;22.50;0.00;10.00;938.00;41.40;8.70;40.00;20.90;29.50;921.00;-;1016.00;1513.90;-;-;-;-;-;-;-
BOU;202305291200;19.00;-;-;-;61.20;11.40;358.00;7.60;8.60;970.50;1013.60;1014.80;-;-;-;-;-;-;-;-
BRZ;202305291200;-;0.00;-;-;-;-;82.00;21.60;33.50;949.00;-;1015.50;-;-;-;-;-;-;-;-
BUS;202305291200;23.70;0.00;10.00;930.00;37.00;8.20;34.00;14.80;26.60;970.90;1014.80;1016.80;-;-;-;-;-;-;-;-
BUF;202305291200;12.50;0.00;0.00;222.00;51.20;2.70;129.00;10.40;17.60;804.10;-;1020.70;1500.70;-;-;-;-;-;-;-
FRE;202305291200;18.10;0.00;10.00;1003.00;38.30;3.70;71.00;17.30;29.50;881.80;-;1019.30;1520.30;-;-;-;-;-;-;-
CEV;202305291200;23.10;0.00;10.00;952.00;52.00;12.70;207.00;15.80;27.00;966.10;1013.80;1015.90;-;-;-;-;-;-;-;-
CHZ;202305291200;23.50;0.00;10.00;916.00;38.70;8.60;46.00;18.00;34.90;964.30;1014.30;1016.60;-;-;-;-;-;-;-;-
CHA;202305291200;15.20;0.00;8.00;846.00;60.20;7.50;49.00;23.00;36.40;841.90;-;1020.50;1514.40;-;-;-;-;-;-;-
