Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305291500;24.00;0.00;10.00;605.00;32.50;6.50;44.00;13.00;27.00;953.80;1014.10;1017.10;-;-;-;-;-;-;-;-
COM;202305291500;22.10;0.00;2.00;447.00;54.70;12.60;175.00;8.60;14.80;948.00;1012.60;1015.50;-;-;-;-;-;-;-;-
ABO;202305291500;18.00;0.00;1.00;304.00;49.80;7.40;39.00;15.80;29.50;868.00;-;1018.00;1505.00;-;-;-;-;-;-;-
AIG;202305291500;19.50;0.30;0.00;67.00;75.10;15.00;46.00;10.80;17.60;968.20;1012.00;1013.30;-;-;-;-;-;-;-;-
ALT;202305291500;24.80;0.00;7.00;524.00;38.80;9.80;313.00;11.90;19.80;963.30;1012.60;1015.10;-;-;-;-;-;-;-;-
ARH;202305291500;24.20;0.00;10.00;610.00;38.10;9.00;19.00;16.20;31.00;969.20;1014.10;1016.30;-;-;-;-;-;-;-;-
AND;202305291500;22.30;0.00;10.00;688.00;35.00;6.10;11.00;13.70;27.40;902.50;-;1016.00;1506.70;-;-;-;-;-;-;-
ANT;202305291500;17.10;0.00;10.00;744.00;52.30;7.30;23.00;13.00;25.60;857.20;-;1018.90;1507.70;-;-;-;-;-;-;-
ARO;202305291500;12.90;0.00;1.00;306.00;57.50;4.70;318.00;12.60;27.00;813.10;-;1020.60;1503.90;-;-;-;-;-;-;-
RAG;202305291500;24.10;0.00;8.00;529.00;34.00;7.30;320.00;25.20;44.30;957.30;1012.90;1015.80;-;-;-;-;-;-;-;-
BAN;202305291500;-;-;10.00;664.00;-;-;-;-;-;-;-;-;-;-;50.00;35.60;54.40;18.00;39.50;4.00
BAS;202305291500;26.80;0.00;10.00;662.00;26.80;6.10;96.00;10.10;25.90;978.10;1013.80;1015.80;-;-;-;-;-;-;-;-
LAT;202305291500;17.70;0.00;0.00;205.00;45.80;5.90;324.00;7.60;18.00;-;-;-;-;-;-;-;-;-;-;-
BER;202305291500;24.50;0.00;10.00;652.00;32.40;6.90;41.00;18.70;36.00;950.70;1012.40;1015.70;-;-;-;-;-;-;-;-
BEZ;202305291500;25.90;0.00;10.00;630.00;26.20;5.10;79.00;12.20;27.70;977.40;1014.20;1016.20;-;-;-;-;-;-;-;-
BIA;202305291500;23.50;0.00;0.00;201.00;49.60;12.40;178.00;25.90;41.40;980.80;1012.50;1013.90;-;-;-;-;-;-;-;-
BIN;202305291500;18.10;0.00;-;-;41.00;4.70;36.00;13.70;31.00;-;-;-;-;-;-;-;-;-;-;-
BIZ;202305291500;24.20;0.00;10.00;595.00;30.60;5.80;42.00;19.80;30.20;957.20;1014.00;1016.90;-;-;-;-;-;-;-;-
BIV;202305291500;13.60;0.00;-;-;54.00;4.50;269.00;24.80;38.90;-;-;-;-;-;-;-;-;-;-;-
BIE;202305291500;23.00;0.00;10.00;697.00;32.90;5.80;26.00;20.20;40.70;935.80;-;1015.50;1515.40;-;-;-;-;-;-;-
BLA;202305291500;19.10;0.00;10.00;677.00;31.80;1.90;19.00;10.10;20.50;845.60;-;1018.00;1494.20;-;-;-;-;-;-;-
BOL;202305291500;22.60;0.00;10.00;628.00;43.20;9.50;36.00;18.70;29.90;920.80;-;1015.80;1512.30;-;-;-;-;-;-;-
BOU;202305291500;23.60;-;-;-;44.60;10.80;265.00;19.80;28.40;969.00;1011.30;1013.20;-;-;-;-;-;-;-;-
BRZ;202305291500;-;0.00;-;-;-;-;81.00;20.50;32.00;948.60;-;1015.10;-;-;-;-;-;-;-;-
BUS;202305291500;24.80;0.00;10.00;658.00;31.50;6.80;52.00;15.80;28.10;970.40;1014.10;1016.30;-;-;-;-;-;-;-;-
BUF;202305291500;13.70;0.00;4.00;399.00;45.80;2.20;103.00;13.00;26.60;803.80;-;1020.30;1495.50;-;-;-;-;-;-;-
FRE;202305291500;18.20;0.00;10.00;726.00;40.40;4.50;58.00;22.30;42.10;881.40;-;1018.80;1516.50;-;-;-;-;-;-;-
CEV;202305291500;23.80;0.00;10.00;693.00;49.70;12.70;211.00;22.30;36.40;964.70;1012.20;1014.40;-;-;-;-;-;-;-;-
CHZ;202305291500;24.50;0.00;10.00;626.00;34.70;7.90;39.00;19.40;35.60;963.90;1013.60;1016.20;-;-;-;-;-;-;-;-
CHA;202305291500;15.40;0.00;10.00;700.00;40.90;2.20;45.00;34.90;49.30;841.70;-;1020.30;1512.30;-;-;-;-;-;-;-
CHM;202305291500;19.10;0.00;10.00;666.00;39.20;4.90;83.00;18.70;32.80;888.50;-;1018.40;1516.20;-;-;-;-;-;-;-
CHU;202305291500;25.30;0.00;10.00;637.00;34.50;8.50;17.00;24.10;42.80;949.70;1011.40;1015.00;-;-;-;-;-;-;-;-
