Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305291520;23.90;0.00;10.00;553.00;34.20;7.20;42.00;14.40;29.20;953.80;1014.10;1017.10;-;-;-;-;-;-;-;-
COM;202305291520;22.10;0.00;0.00;329.00;54.80;12.60;182.00;8.60;16.60;948.00;1012.60;1015.50;-;-;-;-;-;-;-;-
ABO;202305291520;18.90;0.00;10.00;736.00;47.50;7.50;42.00;14.40;27.40;868.10;-;1018.20;1506.60;-;-;-;-;-;-;-
AIG;202305291520;19.90;0.10;0.00;66.00;79.60;16.30;114.00;6.10;11.20;968.20;1011.90;1013.30;-;-;-;-;-;-;-;-
ALT;202305291520;22.90;0.00;1.00;280.00;44.30;10.10;324.00;10.80;19.40;963.30;1012.90;1015.10;-;-;-;-;-;-;-;-
ARH;202305291520;24.10;0.00;10.00;558.00;37.90;8.90;22.00;15.50;29.90;969.30;1014.20;1016.40;-;-;-;-;-;-;-;-
AND;202305291520;22.10;0.00;7.00;562.00;37.70;7.00;21.00;14.00;24.80;902.50;-;1016.00;1506.30;-;-;-;-;-;-;-
ANT;202305291520;16.50;0.00;10.00;642.00;51.90;6.60;20.00;13.30;38.20;857.20;-;1018.90;1507.50;-;-;-;-;-;-;-
ARO;202305291520;12.90;0.00;3.00;358.00;56.40;4.40;337.00;11.50;23.80;813.30;-;1020.80;1506.00;-;-;-;-;-;-;-
RAG;202305291520;23.10;0.00;1.00;184.00;36.70;7.50;328.00;21.60;40.00;957.30;1013.10;1015.80;-;-;-;-;-;-;-;-
BAN;202305291520;-;-;10.00;612.00;-;-;-;-;-;-;-;-;-;-;45.00;46.80;56.90;17.90;38.10;3.40
BAS;202305291520;26.20;0.00;9.00;485.00;24.90;4.60;78.00;14.40;28.10;978.10;1013.80;1015.80;-;-;-;-;-;-;-;-
LAT;202305291520;17.50;0.00;0.00;190.00;46.00;5.80;321.00;8.30;20.50;-;-;-;-;-;-;-;-;-;-;-
BER;202305291520;24.20;0.00;10.00;604.00;29.40;5.30;45.00;19.10;36.40;950.80;1012.50;1015.80;-;-;-;-;-;-;-;-
BEZ;202305291520;25.80;0.00;10.00;583.00;23.50;3.40;68.00;10.40;20.20;977.50;1014.30;1016.30;-;-;-;-;-;-;-;-
BIA;202305291520;23.00;0.00;6.00;477.00;59.20;14.60;182.00;19.10;30.60;980.80;1012.60;1013.90;-;-;-;-;-;-;-;-
BIN;202305291520;18.20;0.00;-;-;40.50;4.60;23.00;7.90;18.40;-;-;-;-;-;-;-;-;-;-;-
BIZ;202305291520;24.00;0.00;10.00;546.00;31.00;5.80;43.00;19.80;31.30;957.20;1014.10;1016.90;-;-;-;-;-;-;-;-
BIV;202305291520;13.90;0.00;-;-;55.20;5.10;268.00;23.00;32.80;-;-;-;-;-;-;-;-;-;-;-
BIE;202305291520;23.00;0.00;10.00;639.00;32.80;5.80;34.00;18.00;41.00;935.70;-;1015.40;1514.50;-;-;-;-;-;-;-
BLA;202305291520;19.10;0.00;10.00;634.00;31.80;1.90;31.00;10.10;23.80;845.60;-;1018.00;1494.20;-;-;-;-;-;-;-
BOL;202305291520;22.70;0.00;10.00;581.00;41.90;9.10;47.00;23.80;33.50;920.70;-;1015.70;1511.60;-;-;-;-;-;-;-
BOU;202305291520;23.60;-;-;-;44.30;10.70;277.00;15.80;25.20;969.00;1011.30;1013.20;-;-;-;-;-;-;-;-
BRZ;202305291520;-;0.00;-;-;-;-;76.00;18.40;31.00;948.70;-;1015.20;-;-;-;-;-;-;-;-
BUS;202305291520;25.00;0.00;10.00;600.00;29.00;5.70;29.00;15.10;28.10;970.40;1014.10;1016.30;-;-;-;-;-;-;-;-
BUF;202305291520;13.50;0.00;2.00;145.00;42.60;1.00;42.00;5.80;11.90;803.80;-;1020.30;1495.80;-;-;-;-;-;-;-
FRE;202305291520;18.10;0.00;10.00;660.00;39.10;4.00;59.00;20.90;39.60;881.30;-;1018.70;1515.50;-;-;-;-;-;-;-
CEV;202305291520;23.10;0.00;5.00;354.00;50.40;12.20;218.00;21.20;33.10;964.60;1012.20;1014.30;-;-;-;-;-;-;-;-
CHZ;202305291520;24.30;0.00;10.00;570.00;33.70;7.30;47.00;20.20;33.80;963.90;1013.70;1016.20;-;-;-;-;-;-;-;-
CHA;202305291520;15.60;0.00;10.00;647.00;46.20;4.10;44.00;31.00;43.60;841.80;-;1020.40;1513.20;-;-;-;-;-;-;-
CHM;202305291520;19.10;0.00;10.00;617.00;36.50;3.90;82.00;18.40;37.80;888.50;-;1018.40;1516.20;-;-;-;-;-;-;-
CHU;202305291520;25.10;0.00;10.00;574.00;33.50;7.90;13.00;20.20;36.40;949.70;1011.50;1015.00;-;-;-;-;-;-;-;-
CHD;202305291520;20.20;0.00;0.00;192.00;48.60;9.00;340.00;4.30;10.10;898.40;-;1016.30;1504.50;-;-;-;-;-;-;-
CIM;202305291520;14.20;0.00;10.00;705.00;71.90;9.20;105.00;5.40;10.10;834.60;-;1020.00;1507.40;-;-;-;-;-;-;-
