Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305291530;23.60;0.00;10.00;527.00;31.40;5.70;35.00;17.30;33.80;953.80;1014.10;1017.10;-;-;-;-;-;-;-;-
COM;202305291530;21.80;0.00;0.00;240.00;54.60;12.30;176.00;10.10;17.30;948.00;1012.60;1015.50;-;-;-;-;-;-;-;-
ABO;202305291530;18.60;0.00;10.00;612.00;48.90;7.70;43.00;15.10;28.80;868.00;-;1018.00;1505.40;-;-;-;-;-;-;-
AIG;202305291530;19.90;0.00;0.00;63.00;78.40;16.00;172.00;5.40;7.90;968.20;1011.90;1013.30;-;-;-;-;-;-;-;-
ALT;202305291530;23.70;0.00;0.00;210.00;40.60;9.50;314.00;11.20;20.50;963.30;1012.80;1015.10;-;-;-;-;-;-;-;-
ARH;202305291530;24.00;0.00;10.00;529.00;38.40;9.00;22.00;16.20;31.30;969.30;1014.30;1016.40;-;-;-;-;-;-;-;-
AND;202305291530;22.10;0.00;10.00;592.00;35.90;6.30;346.00;10.80;19.80;902.60;-;1016.10;1507.30;-;-;-;-;-;-;-
ANT;202305291530;16.80;0.00;10.00;599.00;55.70;7.90;40.00;10.40;32.40;857.20;-;1018.90;1507.60;-;-;-;-;-;-;-
ARO;202305291530;12.70;0.00;0.00;185.00;57.80;4.60;9.00;10.10;20.90;813.30;-;1020.80;1506.30;-;-;-;-;-;-;-
RAG;202305291530;23.20;0.00;0.00;155.00;34.80;6.80;322.00;23.80;41.00;957.30;1013.10;1015.80;-;-;-;-;-;-;-;-
BAN;202305291530;-;-;10.00;575.00;-;-;-;-;-;-;-;-;-;-;48.00;42.10;52.90;18.10;38.50;3.80
BAS;202305291530;26.40;0.00;7.00;371.00;25.00;4.80;62.00;9.40;19.10;978.10;1013.80;1015.80;-;-;-;-;-;-;-;-
LAT;202305291530;17.60;0.00;0.00;192.00;46.20;5.90;282.00;6.50;18.70;-;-;-;-;-;-;-;-;-;-;-
BER;202305291530;24.20;0.00;10.00;576.00;29.60;5.40;41.00;18.00;31.30;950.80;1012.50;1015.80;-;-;-;-;-;-;-;-
