Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305291540;23.20;0.00;10.00;505.00;31.00;5.10;33.00;19.10;35.30;953.80;1014.20;1017.10;-;-;-;-;-;-;-;-
COM;202305291540;21.40;0.00;0.00;202.00;57.20;12.60;191.00;7.90;14.80;948.00;1012.70;1015.50;-;-;-;-;-;-;-;-
ABO;202305291540;18.60;0.00;10.00;607.00;48.90;7.70;36.00;16.20;30.60;868.10;-;1018.20;1506.40;-;-;-;-;-;-;-
AIG;202305291540;20.10;0.00;0.00;85.00;74.60;15.40;158.00;9.70;13.00;968.20;1011.90;1013.30;-;-;-;-;-;-;-;-
ALT;202305291540;22.60;0.00;0.00;173.00;46.20;10.50;317.00;12.20;25.60;963.30;1013.00;1015.10;-;-;-;-;-;-;-;-
ARH;202305291540;23.90;0.00;10.00;502.00;37.50;8.50;14.00;15.80;34.60;969.30;1014.30;1016.40;-;-;-;-;-;-;-;-
AND;202305291540;21.50;0.00;2.00;312.00;36.70;6.10;359.00;12.60;25.20;902.60;-;1016.10;1506.10;-;-;-;-;-;-;-
ANT;202305291540;16.60;0.00;10.00;549.00;53.90;7.20;2.00;20.20;46.40;857.30;-;1019.10;1508.50;-;-;-;-;-;-;-
ARO;202305291540;12.50;0.00;0.00;178.00;58.70;4.60;322.00;10.10;19.40;813.40;-;1021.00;1507.60;-;-;-;-;-;-;-
RAG;202305291540;23.30;0.00;1.00;158.00;34.70;6.90;320.00;25.60;45.70;957.30;1013.10;1015.80;-;-;-;-;-;-;-;-
BAN;202305291540;-;-;10.00;543.00;-;-;-;-;-;-;-;-;-;-;48.00;41.40;54.40;18.20;38.90;4.00
BAS;202305291540;25.70;0.00;2.00;208.00;25.10;4.30;45.00;7.60;21.60;978.10;1013.90;1015.80;-;-;-;-;-;-;-;-
LAT;202305291540;17.30;0.00;0.00;208.00;47.70;6.10;324.00;7.90;19.40;-;-;-;-;-;-;-;-;-;-;-
BER;202305291540;24.40;0.00;10.00;547.00;28.00;4.70;55.00;19.80;37.80;950.80;1012.50;1015.80;-;-;-;-;-;-;-;-
BEZ;202305291540;25.80;0.00;10.00;525.00;22.40;2.70;89.00;15.10;29.20;977.40;1014.20;1016.20;-;-;-;-;-;-;-;-
BIA;202305291540;23.30;0.00;7.00;397.00;58.90;14.80;149.00;10.10;17.30;980.90;1012.60;1014.00;-;-;-;-;-;-;-;-
BIN;202305291540;18.30;0.00;-;-;39.80;4.40;64.00;10.80;26.30;-;-;-;-;-;-;-;-;-;-;-
BIZ;202305291540;24.10;0.00;10.00;495.00;32.00;6.40;33.00;16.20;29.50;957.20;1014.00;1016.90;-;-;-;-;-;-;-;-
BIV;202305291540;14.20;-;-;-;54.50;5.20;266.00;20.90;31.70;-;-;-;-;-;-;-;-;-;-;-
BIE;202305291540;22.80;0.00;10.00;585.00;33.40;5.90;24.00;18.70;37.40;935.80;-;1015.50;1514.80;-;-;-;-;-;-;-
BLA;202305291540;18.90;0.00;10.00;561.00;31.10;1.50;28.00;9.00;18.70;845.50;-;1017.90;1493.20;-;-;-;-;-;-;-
BOL;202305291540;22.50;0.00;10.00;522.00;42.20;9.00;46.00;23.40;34.60;920.80;-;1015.80;1512.00;-;-;-;-;-;-;-
