Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305281810;20.10;0.00;10.00;96.00;46.50;8.30;47.00;5.40;11.20;952.70;1013.80;1016.00;-;-;-;-;-;-;-;-
COM;202305281810;17.50;0.00;0.00;53.00;81.50;14.30;321.00;1.40;4.70;947.00;1012.60;1014.40;-;-;-;-;-;-;-;-
ABO;202305281810;15.70;0.00;0.00;69.00;56.20;7.00;14.00;6.80;13.70;867.50;-;1017.50;1498.60;-;-;-;-;-;-;-
AIG;202305281810;23.90;0.00;0.00;62.00;34.80;7.40;325.00;13.00;25.60;967.30;1010.30;1012.40;-;-;-;-;-;-;-;-
ALT;202305281810;20.70;0.00;0.00;68.00;49.90;9.90;346.00;9.40;14.00;962.40;1012.40;1014.20;-;-;-;-;-;-;-;-
ARH;202305281810;21.40;0.00;0.00;86.00;40.30;7.40;32.00;12.20;22.30;968.40;1013.80;1015.50;-;-;-;-;-;-;-;-
AND;202305281810;16.10;0.00;0.00;13.00;55.40;7.20;51.00;4.00;8.30;902.90;-;1016.40;1498.90;-;-;-;-;-;-;-
ANT;202305281810;13.60;0.00;0.00;47.00;56.60;5.10;48.00;15.10;30.20;856.70;-;1018.40;1501.80;-;-;-;-;-;-;-
ARO;202305281810;10.40;0.00;0.00;53.00;68.00;4.80;28.00;6.10;11.90;812.90;-;1020.40;1505.30;-;-;-;-;-;-;-
RAG;202305281810;22.10;0.00;0.00;99.00;40.30;8.00;328.00;13.00;30.20;956.80;1012.80;1015.20;-;-;-;-;-;-;-;-
BAN;202305281810;-;-;10.00;119.00;-;-;-;-;-;-;-;-;-;-;47.00;36.40;42.10;17.20;47.40;5.90
BAS;202305281810;23.70;0.00;0.00;81.00;40.80;9.60;70.00;4.00;11.50;977.00;1013.00;1014.60;-;-;-;-;-;-;-;-
LAT;202305281810;14.60;0.00;0.00;34.00;49.80;4.20;354.00;11.50;24.10;-;-;-;-;-;-;-;-;-;-;-
BER;202305281810;21.70;0.00;10.00;106.00;40.10;7.60;44.00;10.80;17.60;949.90;1012.10;1014.80;-;-;-;-;-;-;-;-
BEZ;202305281810;23.00;0.00;1.00;60.00;38.20;8.00;58.00;4.30;14.00;976.40;1013.60;1015.10;-;-;-;-;-;-;-;-
BIA;202305281810;20.90;0.00;0.00;75.00;68.20;14.80;343.00;7.20;10.80;980.00;1012.00;1013.00;-;-;-;-;-;-;-;-
BIN;202305281810;14.30;0.00;-;-;58.10;6.20;350.00;4.70;7.60;-;-;-;-;-;-;-;-;-;-;-
BIZ;202305281810;20.50;0.00;10.00;96.00;41.20;6.90;56.00;11.20;19.80;956.20;1013.70;1015.90;-;-;-;-;-;-;-;-
BIV;202305281810;10.80;0.00;-;-;63.30;4.10;269.00;7.90;18.70;-;-;-;-;-;-;-;-;-;-;-
BIE;202305281810;20.00;0.00;10.00;125.00;34.30;3.80;17.00;11.50;19.40;935.30;-;1015.00;1502.00;-;-;-;-;-;-;-
BLA;202305281810;15.00;0.00;0.00;63.00;43.40;2.70;47.00;9.40;19.40;845.40;-;1017.70;1492.90;-;-;-;-;-;-;-
BOL;202305281810;17.70;0.00;0.00;42.00;54.10;8.30;21.00;6.10;8.60;920.40;-;1015.40;1496.50;-;-;-;-;-;-;-
BOU;202305281810;24.00;-;-;-;38.00;8.80;262.00;22.30;33.50;968.30;1010.50;1012.50;-;-;-;-;-;-;-;-
BRZ;202305281810;-;0.00;-;-;-;-;110.00;13.00;23.40;948.10;-;1014.60;-;-;-;-;-;-;-;-
BUS;202305281810;22.30;0.00;10.00;117.00;39.90;8.00;41.00;6.80;15.10;969.30;1013.30;1015.10;-;-;-;-;-;-;-;-
BUF;202305281810;10.70;0.00;0.00;35.00;55.00;2.00;70.00;9.70;19.10;803.40;-;1019.80;1496.50;-;-;-;-;-;-;-
FRE;202305281810;15.30;0.00;0.00;48.00;49.70;4.90;44.00;17.30;27.00;880.50;-;1017.80;1504.70;-;-;-;-;-;-;-
CEV;202305281810;20.00;0.00;0.00;41.00;67.80;13.90;228.00;24.50;33.80;964.40;1012.50;1014.10;-;-;-;-;-;-;-;-
CHZ;202305281810;21.70;0.00;7.00;93.00;37.90;6.70;40.00;17.30;27.00;962.80;1013.00;1015.00;-;-;-;-;-;-;-;-
CHA;202305281810;12.00;0.00;1.00;86.00;70.50;6.80;35.00;22.70;32.80;840.80;-;1019.20;1504.30;-;-;-;-;-;-;-
CHM;202305281810;15.80;0.00;6.00;80.00;53.10;6.30;72.00;13.70;25.60;887.60;-;1017.40;1503.20;-;-;-;-;-;-;-
CHU;202305281810;21.70;0.00;0.00;48.00;40.60;7.70;49.00;19.10;31.70;949.80;1012.40;1015.10;-;-;-;-;-;-;-;-
CHD;202305281810;16.10;0.00;0.00;60.00;76.00;11.90;355.00;5.00;7.60;897.90;-;1015.80;1492.80;-;-;-;-;-;-;-
CIM;202305281810;9.30;0.00;0.00;2.00;90.80;7.90;235.00;14.80;33.10;833.70;-;1018.90;1501.20;-;-;-;-;-;-;-
CDM;202305281810;14.80;0.00;-;-;61.30;7.40;44.00;7.20;12.20;-;-;-;-;-;-;-;-;-;-;-
GSB;202305281810;6.70;0.00;0.00;44.00;73.10;2.20;168.00;2.50;7.20;754.50;-;1021.60;-;3099.90;-;-;-;-;-;-
COY;202305281810;19.10;0.00;-;-;53.40;9.40;45.00;13.00;22.00;-;-;-;-;-;-;-;-;-;-;-
CMA;202305281810;4.70;-;0.00;44.00;82.90;2.00;360.00;24.80;38.50;754.90;-;1021.70;-;3096.20;-;-;-;-;-;-
CRM;202305281810;21.50;0.00;0.00;54.00;45.90;9.40;45.00;9.00;15.10;963.60;1012.50;1014.40;-;-;-;-;-;-;-;-
DAV;202305281810;12.20;0.00;0.00;38.00;60.00;4.70;38.00;11.20;16.60;840.80;-;1019.20;1504.20;-;-;-;-;-;-;-
DEM;202305281810;22.30;0.00;10.00;102.00;44.30;9.60;32.00;14.80;25.90;963.20;1012.90;1015.00;-;-;-;-;-;-;-;-
DIS;202305281810;16.00;0.00;0.00;39.00;51.10;5.90;17.00;3.20;10.40;881.00;-;1017.40;1502.10;-;-;-;-;-;-;-
EBK;202305281810;20.80;0.00;10.00;90.00;39.80;6.60;15.00;7.20;15.80;943.30;-;1016.20;1516.20;-;-;-;-;-;-;-
EGH;202305281810;3.40;-;0.00;58.00;64.70;-2.60;315.00;3.20;5.80;717.80;-;1022.80;-;3096.70;-;-;-;-;-;-
EGO;202305281810;21.10;0.00;10.00;105.00;44.10;8.40;66.00;9.00;15.50;953.90;1012.90;1015.20;-;-;-;-;-;-;-;-
EIN;202305281810;17.70;0.00;10.00;98.00;50.40;7.30;32.00;11.50;18.70;911.80;-;1016.90;1508.00;-;-;-;-;-;-;-
ELM;202305281810;16.80;0.00;0.00;25.00;58.50;8.60;210.00;2.20;4.70;906.60;-;1016.90;1504.90;-;-;-;-;-;-;-
ENG;202305281810;17.70;0.00;0.00;68.00;47.90;6.50;271.00;7.60;17.30;898.30;-;1017.20;1507.40;-;-;-;-;-;-;-
EVI;202305281810;22.30;0.00;0.00;65.00;40.90;8.40;297.00;12.60;17.30;956.40;1010.70;1013.10;-;-;-;-;-;-;-;-
EVO;202305281810;11.70;0.00;5.00;76.00;56.10;3.20;104.00;2.90;5.40;816.90;-;1019.10;1494.90;-;-;-;-;-;-;-
FAH;202305281810;19.70;0.00;10.00;121.00;49.80;8.90;43.00;7.60;15.10;946.20;1013.70;1016.20;-;-;-;-;-;-;-;-
FLU;202305281810;18.00;0.00;-;-;47.60;6.70;357.00;14.40;22.70;-;-;-;-;-;-;-;-;-;-;-
GRA;202305281810;20.60;0.00;10.00;108.00;40.60;6.80;43.00;18.70;28.40;938.80;-;1014.70;1502.40;-;-;-;-;-;-;-
FRU;202305281810;19.50;0.00;0.00;44.00;49.60;8.70;355.00;9.40;14.40;-;-;-;-;-;-;-;-;-;-;-
GVE;202305281810;22.30;0.00;0.00;52.00;49.70;11.30;18.00;6.50;12.20;964.90;1011.50;1013.50;-;-;-;-;-;-;-;-
GES;202305281810;20.90;0.00;-;-;44.10;8.20;359.00;13.00;19.40;-;-;-;-;-;-;-;-;-;-;-
GIH;202305281810;19.80;0.00;0.00;49.00;60.30;11.90;308.00;4.30;7.60;959.40;1013.10;1014.90;-;-;-;-;-;-;-;-
GLA;202305281810;21.50;0.00;0.00;62.00;43.70;8.60;308.00;15.10;22.70;954.00;1012.40;1014.80;-;-;-;-;-;-;-;-
GOR;202305281810;1.80;-;7.00;150.00;71.80;-2.70;121.00;7.60;12.20;696.90;-;1023.40;-;3095.60;-;-;-;-;-;-
GRE;202305281810;19.90;0.00;0.00;61.00;52.80;10.00;40.00;10.80;16.90;964.10;1013.10;1014.70;-;-;-;-;-;-;-;-
GRH;202305281810;9.50;0.00;0.00;50.00;65.80;3.40;319.00;15.50;23.40;804.80;-;1020.60;1505.20;-;-;-;-;-;-;-
GRO;202305281810;20.30;0.00;0.00;19.00;77.50;16.20;13.00;2.20;3.60;975.30;1012.50;1013.70;-;-;-;-;-;-;-;-
GRC;202305281810;15.10;0.00;0.00;82.00;46.00;3.60;-;-;-;838.60;-;1017.90;1491.20;-;-;-;-;-;-;-
GOS;202305281810;16.40;0.00;-;-;59.30;8.40;174.00;4.00;6.10;906.90;-;1016.30;1499.50;-;-;-;-;-;-;-
GOE;202305281810;22.90;0.00;10.00;114.00;36.60;7.30;80.00;12.60;24.80;969.70;1012.90;1014.80;-;-;-;-;-;-;-;-
GUE;202305281810;7.10;0.00;0.00;53.00;68.10;1.60;355.00;16.60;24.50;773.30;-;1021.20;1501.80;-;-;-;-;-;-;-
GUT;202305281810;21.40;0.00;10.00;92.00;38.90;6.80;41.00;13.00;25.60;963.80;1013.90;1015.80;-;-;-;-;-;-;-;-
HLL;202305281810;21.30;0.00;10.00;96.00;33.00;4.40;78.00;0.40;7.20;966.10;1013.80;1015.60;-;-;-;-;-;-;-;-
HOE;202305281810;14.80;0.00;10.00;92.00;52.80;5.30;67.00;11.50;29.50;888.60;-;1018.10;1508.50;-;-;-;-;-;-;-
ILZ;202305281810;20.50;0.00;0.00;42.00;40.90;6.80;-;-;-;934.10;-;1015.40;1506.90;-;-;-;-;-;-;-
INT;202305281810;19.10;0.00;0.00;62.00;59.20;11.00;195.00;16.90;27.40;946.90;1012.40;1014.60;-;-;-;-;-;-;-;-
JUN;202305281810;-2.60;-;0.00;134.00;99.60;-2.70;314.00;7.90;11.90;659.40;-;1024.90;-;3098.90;-;-;-;-;-;-
KOP;202305281810;21.00;0.00;10.00;88.00;43.50;8.10;55.00;13.00;20.90;958.00;1013.00;1015.10;-;-;-;-;-;-;-;-
BRL;202305281810;16.00;0.00;8.00;105.00;55.90;7.20;63.00;12.60;19.40;896.70;-;1017.10;1503.40;-;-;-;-;-;-;-
