Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305291300;23.60;0.00;10.00;866.00;33.40;6.60;56.00;15.80;32.40;954.10;1014.50;1017.40;-;-;-;-;-;-;-;-
COM;202305291300;21.60;0.00;2.00;481.00;56.90;12.70;166.00;12.20;20.90;948.70;1013.40;1016.20;-;-;-;-;-;-;-;-
ABO;202305291300;18.60;0.00;10.00;944.00;46.60;7.00;44.00;15.50;27.40;868.30;-;1018.40;1508.40;-;-;-;-;-;-;-
AIG;202305291300;24.00;0.00;10.00;853.00;47.80;12.30;351.00;17.60;28.40;968.70;1011.80;1013.80;-;-;-;-;-;-;-;-
ALT;202305291300;24.10;0.00;8.00;773.00;46.70;12.00;333.00;19.80;27.00;963.60;1013.00;1015.40;-;-;-;-;-;-;-;-
ARH;202305291300;24.50;0.00;10.00;854.00;38.60;9.50;4.00;15.80;28.40;969.50;1014.40;1016.60;-;-;-;-;-;-;-;-
AND;202305291300;21.90;0.00;7.00;767.00;35.20;5.80;13.00;16.20;26.60;902.60;-;1016.10;1506.90;-;-;-;-;-;-;-
ANT;202305291300;16.30;0.00;7.00;850.00;62.70;9.20;3.00;25.90;37.80;857.60;-;1019.40;1511.40;-;-;-;-;-;-;-
ARO;202305291300;13.30;0.00;8.00;863.00;54.50;4.30;334.00;11.50;21.60;813.20;-;1020.70;1504.40;-;-;-;-;-;-;-
RAG;202305291300;24.30;0.00;10.00;861.00;37.50;8.90;326.00;20.90;37.10;957.50;1013.10;1016.00;-;-;-;-;-;-;-;-
BAN;202305291300;-;-;10.00;881.00;-;-;-;-;-;-;-;-;-;-;49.00;40.00;53.30;17.10;45.60;5.30
BAS;202305291300;24.90;0.00;10.00;862.00;33.90;7.90;15.00;6.50;16.60;978.80;1014.70;1016.50;-;-;-;-;-;-;-;-
LAT;202305291300;18.90;0.00;5.00;773.00;42.70;6.00;313.00;7.20;18.00;-;-;-;-;-;-;-;-;-;-;-
BER;202305291300;23.60;0.00;10.00;902.00;33.90;6.80;43.00;23.40;45.00;951.20;1013.10;1016.20;-;-;-;-;-;-;-;-
BEZ;202305291300;25.70;0.00;10.00;878.00;30.00;6.80;79.00;10.10;20.90;977.90;1014.80;1016.70;-;-;-;-;-;-;-;-
BIA;202305291300;24.30;0.00;6.00;701.00;48.80;12.80;180.00;18.00;34.20;981.60;1013.30;1014.70;-;-;-;-;-;-;-;-
BIN;202305291300;16.80;0.00;-;-;45.20;4.90;42.00;18.40;33.10;-;-;-;-;-;-;-;-;-;-;-
BIZ;202305291300;23.90;0.00;10.00;844.00;31.00;5.80;41.00;20.20;33.80;957.50;1014.40;1017.20;-;-;-;-;-;-;-;-
BIV;202305291300;13.70;0.00;-;-;56.80;5.30;205.00;6.10;13.00;-;-;-;-;-;-;-;-;-;-;-
BIE;202305291300;22.50;0.00;10.00;951.00;34.50;6.10;45.00;23.00;43.20;936.40;-;1016.20;1519.40;-;-;-;-;-;-;-
BLA;202305291300;18.60;0.00;9.00;874.00;34.80;2.80;30.00;8.60;18.00;846.00;-;1018.40;1498.40;-;-;-;-;-;-;-
BOL;202305291300;22.90;0.00;10.00;893.00;38.70;8.10;39.00;20.90;32.00;920.90;-;1015.90;1514.00;-;-;-;-;-;-;-
BOU;202305291300;19.80;-;-;-;65.80;13.20;351.00;5.00;7.90;970.00;1012.90;1014.30;-;-;-;-;-;-;-;-
BRZ;202305291300;-;0.00;-;-;-;-;97.00;21.60;38.50;949.00;-;1015.50;-;-;-;-;-;-;-;-
BUS;202305291300;24.40;0.00;10.00;875.00;33.50;7.30;43.00;10.10;25.60;970.90;1014.70;1016.80;-;-;-;-;-;-;-;-
