Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305291250;24.00;0.00;10.00;881.00;33.40;6.90;51.00;14.40;31.30;954.10;1014.40;1017.40;-;-;-;-;-;-;-;-
COM;202305291250;21.60;0.00;6.00;713.00;55.80;12.40;152.00;12.20;21.60;948.70;1013.40;1016.20;-;-;-;-;-;-;-;-
ABO;202305291250;18.50;0.00;10.00;927.00;48.50;7.40;46.00;14.00;27.70;868.30;-;1018.40;1508.30;-;-;-;-;-;-;-
AIG;202305291250;24.00;0.00;10.00;872.00;46.20;11.70;338.00;17.30;28.40;968.80;1011.90;1013.90;-;-;-;-;-;-;-;-
ALT;202305291250;23.50;0.00;9.00;749.00;47.00;11.50;335.00;19.40;27.00;963.70;1013.20;1015.50;-;-;-;-;-;-;-;-
ARH;202305291250;24.50;0.00;10.00;867.00;38.80;9.60;18.00;14.00;25.20;969.40;1014.30;1016.50;-;-;-;-;-;-;-;-
AND;202305291250;22.50;0.00;8.00;820.00;39.30;8.00;11.00;12.20;22.70;902.60;-;1016.10;1508.00;-;-;-;-;-;-;-
ANT;202305291250;15.10;0.00;3.00;655.00;61.80;7.80;358.00;23.00;34.60;857.50;-;1019.30;1510.10;-;-;-;-;-;-;-
ARO;202305291250;12.60;0.00;0.00;241.00;56.40;4.20;25.00;10.80;22.70;813.20;-;1020.70;1505.40;-;-;-;-;-;-;-
RAG;202305291250;24.20;0.00;10.00;876.00;38.10;9.00;326.00;21.20;34.60;957.60;1013.20;1016.10;-;-;-;-;-;-;-;-
BAN;202305291250;-;-;10.00;896.00;-;-;-;-;-;-;-;-;-;-;45.00;41.00;56.50;17.20;44.60;5.00
BAS;202305291250;25.60;0.00;10.00;877.00;35.10;9.10;349.00;6.80;18.40;978.90;1014.70;1016.60;-;-;-;-;-;-;-;-
LAT;202305291250;18.30;0.00;4.00;535.00;41.80;5.10;323.00;5.80;16.60;-;-;-;-;-;-;-;-;-;-;-
BER;202305291250;24.30;0.00;10.00;912.00;34.00;7.40;37.00;20.90;36.70;951.10;1012.80;1016.10;-;-;-;-;-;-;-;-
BEZ;202305291250;25.20;0.00;10.00;894.00;30.70;6.70;55.00;9.00;23.40;977.80;1014.70;1016.60;-;-;-;-;-;-;-;-
BIA;202305291250;23.00;0.00;1.00;369.00;54.90;13.50;186.00;14.40;25.90;981.70;1013.50;1014.80;-;-;-;-;-;-;-;-
