Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305291440;23.70;0.00;10.00;657.00;32.30;6.20;45.00;14.80;27.40;953.80;1014.10;1017.10;-;-;-;-;-;-;-;-
COM;202305291440;21.50;0.00;0.00;251.00;54.70;12.00;172.00;10.80;20.50;948.00;1012.70;1015.50;-;-;-;-;-;-;-;-
ABO;202305291440;18.20;0.00;7.00;636.00;49.10;7.30;36.00;16.20;30.60;868.00;-;1018.00;1505.10;-;-;-;-;-;-;-
AIG;202305291440;22.80;0.00;2.00;207.00;52.20;12.50;353.00;18.40;28.10;968.00;1011.20;1013.10;-;-;-;-;-;-;-;-
ALT;202305291440;24.50;0.00;9.00;700.00;43.00;11.10;322.00;11.90;22.00;963.30;1012.60;1015.10;-;-;-;-;-;-;-;-
ARH;202305291440;24.30;0.00;10.00;658.00;37.30;8.80;9.00;18.00;31.30;969.30;1014.20;1016.40;-;-;-;-;-;-;-;-
AND;202305291440;22.20;0.00;5.00;580.00;33.70;5.50;13.00;14.40;22.70;902.40;-;1015.90;1505.60;-;-;-;-;-;-;-
ANT;202305291440;16.50;0.00;9.00;770.00;53.00;6.90;12.00;14.80;35.60;857.20;-;1018.90;1507.50;-;-;-;-;-;-;-
ARO;202305291440;13.30;0.00;1.00;301.00;54.10;4.20;323.00;12.60;19.80;813.20;-;1020.70;1504.40;-;-;-;-;-;-;-
RAG;202305291440;24.00;0.00;8.00;448.00;34.50;7.40;323.00;23.80;44.60;957.20;1012.90;1015.70;-;-;-;-;-;-;-;-
BAN;202305291440;-;-;10.00;722.00;-;-;-;-;-;-;-;-;-;-;49.00;39.60;52.20;18.10;38.60;3.80
BAS;202305291440;26.60;0.00;10.00;705.00;23.20;3.90;79.00;11.90;32.00;978.10;1013.80;1015.80;-;-;-;-;-;-;-;-
LAT;202305291440;18.30;0.00;3.00;376.00;42.00;5.20;279.00;9.00;17.30;-;-;-;-;-;-;-;-;-;-;-
BER;202305291440;24.40;0.00;10.00;703.00;32.50;6.90;44.00;20.90;37.40;950.70;1012.40;1015.70;-;-;-;-;-;-;-;-
