Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305291510;23.70;0.00;10.00;580.00;30.30;5.30;54.00;13.30;29.90;953.80;1014.10;1017.10;-;-;-;-;-;-;-;-
COM;202305291510;22.50;0.00;6.00;625.00;54.10;12.80;178.00;9.40;16.90;948.00;1012.50;1015.50;-;-;-;-;-;-;-;-
ABO;202305291510;19.00;0.00;8.00;628.00;47.90;7.70;43.00;15.10;28.40;868.00;-;1018.00;1505.70;-;-;-;-;-;-;-
AIG;202305291510;19.70;0.00;0.00;63.00;76.60;15.50;54.00;6.10;7.90;968.10;1011.80;1013.20;-;-;-;-;-;-;-;-
ALT;202305291510;24.00;0.00;1.00;265.00;37.70;8.70;311.00;13.30;22.70;963.30;1012.70;1015.10;-;-;-;-;-;-;-;-
ARH;202305291510;24.10;0.00;10.00;584.00;37.90;8.90;13.00;15.80;27.70;969.30;1014.20;1016.40;-;-;-;-;-;-;-;-
AND;202305291510;22.30;0.00;10.00;637.00;35.20;6.20;15.00;16.20;26.60;902.60;-;1016.10;1507.60;-;-;-;-;-;-;-
ANT;202305291510;17.10;0.00;10.00;697.00;52.80;7.40;52.00;14.00;37.10;857.20;-;1018.90;1507.70;-;-;-;-;-;-;-
ARO;202305291510;13.10;0.00;8.00;634.00;56.90;4.80;307.00;10.80;18.70;813.30;-;1020.80;1505.80;-;-;-;-;-;-;-
RAG;202305291510;23.60;0.00;3.00;246.00;34.80;7.20;320.00;23.40;40.70;957.30;1013.00;1015.80;-;-;-;-;-;-;-;-
BAN;202305291510;-;-;10.00;638.00;-;-;-;-;-;-;-;-;-;-;43.00;43.60;64.10;18.10;37.50;3.40
BAS;202305291510;26.20;0.00;9.00;573.00;23.50;3.80;95.00;12.20;27.00;978.10;1013.80;1015.80;-;-;-;-;-;-;-;-
LAT;202305291510;17.60;0.00;0.00;225.00;47.50;6.30;343.00;6.80;17.30;-;-;-;-;-;-;-;-;-;-;-
BER;202305291510;24.20;0.00;10.00;628.00;29.80;5.40;39.00;19.40;42.50;950.80;1012.50;1015.80;-;-;-;-;-;-;-;-
BEZ;202305291510;25.80;0.00;10.00;608.00;24.30;3.90;66.00;11.20;26.60;977.50;1014.30;1016.30;-;-;-;-;-;-;-;-
BIA;202305291510;21.70;0.00;0.00;206.00;65.50;15.00;186.00;22.30;41.40;980.80;1012.70;1013.90;-;-;-;-;-;-;-;-
BIN;202305291510;17.60;0.00;-;-;38.60;3.30;16.00;10.10;24.50;-;-;-;-;-;-;-;-;-;-;-
BIZ;202305291510;24.20;0.00;10.00;570.00;30.10;5.60;53.00;22.00;31.00;957.20;1014.00;1016.90;-;-;-;-;-;-;-;-
BIV;202305291510;13.90;0.00;-;-;56.60;5.40;272.00;26.30;38.50;-;-;-;-;-;-;-;-;-;-;-
BIE;202305291510;22.90;0.00;10.00;672.00;32.20;5.40;32.00;20.50;38.50;935.80;-;1015.50;1515.10;-;-;-;-;-;-;-
BLA;202305291510;19.00;0.00;10.00;688.00;31.10;1.50;38.00;11.50;27.00;845.60;-;1018.00;1494.20;-;-;-;-;-;-;-
BOL;202305291510;22.50;0.00;10.00;603.00;42.70;9.20;33.00;20.20;29.90;920.70;-;1015.70;1511.10;-;-;-;-;-;-;-
BOU;202305291510;23.50;-;-;-;44.30;10.70;278.00;13.00;19.10;969.00;1011.30;1013.20;-;-;-;-;-;-;-;-
BRZ;202305291510;-;0.00;-;-;-;-;79.00;18.70;32.80;948.60;-;1015.10;-;-;-;-;-;-;-;-
BUS;202305291510;24.90;0.00;10.00;629.00;31.00;6.60;31.00;15.50;29.50;970.40;1014.10;1016.30;-;-;-;-;-;-;-;-
BUF;202305291510;13.20;0.00;0.00;119.00;45.80;1.80;114.00;11.90;22.30;803.80;-;1020.30;1496.30;-;-;-;-;-;-;-
FRE;202305291510;18.00;0.00;10.00;697.00;40.90;4.50;64.00;19.40;34.90;881.40;-;1018.80;1516.30;-;-;-;-;-;-;-
CEV;202305291510;23.60;0.00;10.00;597.00;49.80;12.50;219.00;21.20;35.30;964.70;1012.20;1014.40;-;-;-;-;-;-;-;-
CHZ;202305291510;24.30;0.00;10.00;596.00;33.50;7.20;46.00;23.80;38.50;963.90;1013.70;1016.20;-;-;-;-;-;-;-;-
CHA;202305291510;15.30;0.00;10.00;673.00;41.30;2.20;47.00;30.60;45.40;841.80;-;1020.40;1513.30;-;-;-;-;-;-;-
CHM;202305291510;19.00;0.00;10.00;644.00;37.60;4.20;87.00;19.40;37.10;888.50;-;1018.40;1516.10;-;-;-;-;-;-;-
CHU;202305291510;24.90;0.00;10.00;606.00;33.10;7.60;25.00;23.80;40.70;949.70;1011.50;1015.00;-;-;-;-;-;-;-;-
CHD;202305291510;20.40;0.00;1.00;206.00;44.10;7.80;3.00;6.10;14.40;898.30;-;1016.20;1503.90;-;-;-;-;-;-;-
CIM;202305291510;13.60;0.00;9.00;624.00;71.30;8.50;112.00;5.80;9.00;834.60;-;1020.00;1507.80;-;-;-;-;-;-;-
CDM;202305291510;17.20;0.00;-;-;57.90;8.80;353.00;6.80;14.40;-;-;-;-;-;-;-;-;-;-;-
GSB;202305291510;8.10;0.00;10.00;765.00;57.70;0.30;287.00;10.80;18.00;755.20;-;1022.50;-;3110.60;-;-;-;-;-;-
