Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
DIS;202305291430;21.10;0.00;10.00;797.00;34.60;4.90;122.00;5.40;15.50;881.00;-;1017.40;1507.70;-;-;-;-;-;-;-
EBK;202305291430;22.80;0.00;10.00;667.00;35.80;6.90;26.00;13.70;25.90;944.30;-;1017.30;1531.70;-;-;-;-;-;-;-
EGH;202305291430;5.70;-;3.00;542.00;62.10;-1.00;120.00;3.20;14.40;718.80;-;1024.10;-;3109.80;-;-;-;-;-;-
EGO;202305291430;23.50;0.00;10.00;704.00;35.50;7.40;64.00;27.00;37.40;954.90;1013.40;1016.30;-;-;-;-;-;-;-;-
EIN;202305291430;20.30;0.00;10.00;762.00;44.60;7.90;29.00;18.70;29.20;912.80;-;1018.00;1523.00;-;-;-;-;-;-;-
ELM;202305291430;21.10;0.00;2.00;370.00;38.70;6.50;320.00;6.80;15.80;906.70;-;1017.00;1514.40;-;-;-;-;-;-;-
ENG;202305291430;20.70;0.00;10.00;824.00;44.40;8.20;240.00;18.40;33.10;899.00;-;1018.00;1519.20;-;-;-;-;-;-;-
EVI;202305291430;24.40;0.00;4.00;417.00;45.90;12.00;340.00;13.00;25.20;957.10;1011.00;1013.80;-;-;-;-;-;-;-;-
EVO;202305291430;15.70;0.00;8.00;812.00;44.50;3.70;269.00;11.90;21.20;817.10;-;1019.40;1492.10;-;-;-;-;-;-;-
FAH;202305291430;22.90;0.00;10.00;769.00;42.70;9.60;59.00;11.20;22.70;947.40;1014.20;1017.40;-;-;-;-;-;-;-;-
FLU;202305291430;20.50;0.00;-;-;43.00;7.50;14.00;23.80;34.60;-;-;-;-;-;-;-;-;-;-;-
GRA;202305291430;23.20;0.00;10.00;725.00;38.30;8.20;49.00;28.40;46.80;939.50;-;1015.50;1516.80;-;-;-;-;-;-;-
FRU;202305291430;23.20;0.00;10.00;746.00;43.50;10.10;35.00;18.00;32.00;-;-;-;-;-;-;-;-;-;-;-
GVE;202305291430;25.50;0.00;10.00;723.00;30.20;6.80;38.00;23.40;38.50;965.40;1011.50;1014.00;-;-;-;-;-;-;-;-
GES;202305291430;23.40;0.00;-;-;44.50;10.60;183.00;5.80;14.00;-;-;-;-;-;-;-;-;-;-;-
GIH;202305291430;24.60;0.00;10.00;689.00;42.90;11.20;46.00;13.00;24.80;960.20;1013.00;1015.80;-;-;-;-;-;-;-;-
GLA;202305291430;24.60;0.00;7.00;537.00;37.60;9.20;293.00;24.50;33.10;954.70;1012.40;1015.50;-;-;-;-;-;-;-;-
GOR;202305291430;3.50;-;7.00;718.00;56.50;-4.30;75.00;8.30;19.40;697.80;-;1024.70;-;3105.90;-;-;-;-;-;-
GRE;202305291430;24.80;0.00;10.00;722.00;34.10;7.90;77.00;24.50;36.40;965.00;1013.10;1015.60;-;-;-;-;-;-;-;-
GRH;202305291430;11.60;0.00;8.00;763.00;70.90;6.50;358.00;15.50;27.40;805.50;-;1021.40;1509.10;-;-;-;-;-;-;-
GRO;202305291430;24.60;0.00;7.00;647.00;48.60;13.10;218.00;3.60;7.60;976.30;1013.00;1014.70;-;-;-;-;-;-;-;-
GRC;202305291430;18.80;0.00;10.00;795.00;32.50;2.00;-;-;-;838.70;-;1018.00;1490.70;-;-;-;-;-;-;-
GOS;202305291430;21.40;0.00;-;-;43.30;8.40;4.00;20.20;33.10;907.10;-;1016.60;1511.50;-;-;-;-;-;-;-
GOE;202305291430;25.00;0.00;10.00;712.00;31.20;6.80;59.00;15.80;28.10;970.80;1013.80;1015.90;-;-;-;-;-;-;-;-
GUE;202305291430;9.10;0.00;0.00;344.00;72.00;4.30;336.00;28.10;37.40;774.10;-;1022.20;1504.70;-;-;-;-;-;-;-
GUT;202305291430;24.40;0.00;10.00;701.00;31.20;6.30;52.00;19.10;27.70;964.80;1014.40;1016.80;-;-;-;-;-;-;-;-
HLL;202305291430;24.90;0.00;10.00;726.00;26.80;4.50;76.00;19.40;33.50;967.30;1014.50;1016.90;-;-;-;-;-;-;-;-
HOE;202305291430;18.80;0.00;10.00;725.00;49.60;8.00;68.00;7.20;25.60;889.60;-;1019.20;1523.50;-;-;-;-;-;-;-
ILZ;202305291430;24.90;0.00;10.00;689.00;32.40;7.30;-;-;-;933.70;-;1015.00;1516.10;-;-;-;-;-;-;-
INT;202305291430;24.90;0.00;10.00;735.00;38.00;9.60;51.00;16.60;24.10;947.30;1011.40;1015.00;-;-;-;-;-;-;-;-
JUN;202305291430;0.70;-;10.00;855.00;73.30;-3.50;168.00;1.40;6.80;660.60;-;1026.70;-;3107.70;-;-;-;-;-;-
KOP;202305291430;25.00;0.00;10.00;730.00;29.40;5.90;45.00;27.40;39.20;959.10;1013.40;1016.30;-;-;-;-;-;-;-;-
BRL;202305291430;20.40;0.00;10.00;750.00;42.80;7.30;49.00;23.00;36.70;897.50;-;1018.00;1518.30;-;-;-;-;-;-;-
CDF;202305291430;20.20;0.00;10.00;747.00;39.70;6.10;37.00;27.00;39.20;901.00;-;1018.00;1518.80;-;-;-;-;-;-;-
DOL;202305291430;14.10;0.00;10.00;776.00;44.40;2.20;78.00;34.60;47.90;833.10;-;1019.30;1501.00;-;-;-;-;-;-;-
LAC;202305291430;24.00;0.00;-;-;39.30;9.30;-;-;-;-;-;-;-;-;-;-;-;-;-;-
LAG;202305291430;22.50;0.00;10.00;720.00;37.80;7.40;104.00;15.10;34.20;930.40;-;1017.00;1524.60;-;-;-;-;-;-;-
MLS;202305291430;14.40;0.00;10.00;759.00;64.50;7.80;16.00;17.30;32.80;803.40;-;1020.60;1496.30;-;-;-;-;-;-;-
LEI;202305291430;25.20;0.00;10.00;717.00;30.80;6.80;77.00;16.90;34.90;975.70;1014.30;1016.30;-;-;-;-;-;-;-;-
ATT;202305291430;5.10;-;8.00;738.00;79.70;1.90;13.00;4.00;8.60;732.60;-;1023.20;-;3105.70;-;-;-;-;-;-
CHB;202305291430;19.40;0.00;-;-;30.60;1.70;41.00;34.90;49.00;897.50;-;1017.40;1511.60;-;-;-;-;-;-;-
DIA;202305291430;3.90;-;0.00;301.00;89.00;2.30;23.00;11.90;28.40;712.20;-;1024.00;-;3105.30;-;-;-;-;-;-
MAR;202305291430;20.50;0.00;-;-;54.80;11.10;83.00;5.00;16.60;-;-;-;-;-;-;-;-;-;-;-
OTL;202305291430;22.60;0.00;10.00;704.00;51.60;12.10;246.00;6.50;11.50;971.00;1013.50;1015.20;-;-;-;-;-;-;-;-
LUG;202305291430;22.80;0.00;10.00;690.00;55.70;13.50;192.00;8.30;15.50;979.40;1013.70;1015.10;-;-;-;-;-;-;-;-
LUZ;202305291430;25.50;0.00;10.00;703.00;35.60;9.20;39.00;19.40;36.70;962.30;1013.20;1016.00;-;-;-;-;-;-;-;-
LAE;202305291430;19.60;-;10.00;719.00;37.50;4.70;18.00;23.00;39.20;920.10;-;1018.00;1523.00;-;-;-;-;-;-;-
MAG;202305291430;24.70;0.00;10.00;765.00;46.80;12.60;266.00;15.50;24.80;990.00;1013.30;1014.40;-;-;-;-;-;-;-;-
MAS;202305291430;23.00;0.00;-;-;40.70;8.90;9.00;25.20;40.70;-;-;-;-;-;-;-;-;-;-;-
MAH;202305291430;25.00;0.00;10.00;736.00;34.60;8.30;42.00;28.40;41.40;963.40;1012.20;1014.80;-;-;-;-;-;-;-;-
MTR;202305291430;10.40;-;1.00;295.00;66.50;4.40;169.00;6.50;17.60;783.50;-;1022.10;1506.00;-;-;-;-;-;-;-
MER;202305291430;23.30;0.00;0.00;332.00;38.40;8.30;307.00;23.80;40.30;946.30;1011.90;1015.20;-;-;-;-;-;-;-;-
MOB;202305291430;22.70;0.00;-;-;42.30;9.20;328.00;8.30;16.60;917.80;-;1014.80;1503.60;-;-;-;-;-;-;-
MVE;202305291430;19.20;0.00;10.00;776.00;40.10;5.30;237.00;15.10;24.80;856.90;-;1017.20;1493.80;-;-;-;-;-;-;-
GEN;202305291430;13.00;0.00;0.00;295.00;79.40;9.50;276.00;2.90;6.50;841.20;-;1020.40;1513.60;-;-;-;-;-;-;-
