Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305291330;24.30;0.00;10.00;809.00;35.60;8.10;33.00;15.50;32.40;954.10;1014.30;1017.40;-;-;-;-;-;-;-;-
COM;202305291330;22.10;0.00;10.00;906.00;58.30;13.50;157.00;14.00;23.80;948.50;1013.10;1016.00;-;-;-;-;-;-;-;-
ABO;202305291330;18.80;0.00;10.00;937.00;44.80;6.60;49.00;17.30;32.40;868.20;-;1018.30;1507.50;-;-;-;-;-;-;-
AIG;202305291330;24.10;0.00;10.00;835.00;47.40;12.20;356.00;23.40;33.80;968.40;1011.50;1013.50;-;-;-;-;-;-;-;-
ALT;202305291330;24.20;0.00;10.00;879.00;48.00;12.50;330.00;17.30;24.50;963.60;1013.00;1015.40;-;-;-;-;-;-;-;-
ARH;202305291330;24.60;0.00;10.00;804.00;37.80;9.30;17.00;16.20;28.80;969.50;1014.40;1016.60;-;-;-;-;-;-;-;-
AND;202305291330;21.10;0.00;3.00;419.00;36.20;5.50;22.00;13.30;20.90;902.50;-;1016.00;1504.50;-;-;-;-;-;-;-
ANT;202305291330;16.30;0.00;8.00;910.00;58.00;8.00;14.00;25.90;36.40;857.60;-;1019.40;1511.40;-;-;-;-;-;-;-
ARO;202305291330;13.20;0.00;1.00;356.00;54.60;4.30;337.00;11.20;19.40;813.20;-;1020.70;1504.60;-;-;-;-;-;-;-
RAG;202305291330;24.80;0.00;10.00;811.00;36.50;8.90;337.00;18.70;37.80;957.50;1013.00;1016.00;-;-;-;-;-;-;-;-
BAN;202305291330;-;-;10.00;877.00;-;-;-;-;-;-;-;-;-;-;46.00;37.80;51.50;17.70;42.90;4.90
BAS;202305291330;26.20;0.00;10.00;820.00;34.80;9.50;353.00;7.20;23.00;978.60;1014.40;1016.30;-;-;-;-;-;-;-;-
LAT;202305291330;18.00;0.00;0.00;217.00;44.90;5.90;320.00;5.80;13.70;-;-;-;-;-;-;-;-;-;-;-
BER;202305291330;24.20;0.00;10.00;861.00;33.60;7.20;44.00;20.20;33.50;951.00;1012.70;1016.00;-;-;-;-;-;-;-;-
BEZ;202305291330;25.30;0.00;10.00;824.00;31.10;7.00;28.00;9.00;28.40;977.80;1014.70;1016.60;-;-;-;-;-;-;-;-
BIA;202305291330;25.00;0.00;10.00;957.00;46.10;12.60;189.00;23.00;33.50;981.30;1012.90;1014.40;-;-;-;-;-;-;-;-
BIN;202305291330;18.00;0.00;-;-;44.60;5.80;73.00;14.80;32.80;-;-;-;-;-;-;-;-;-;-;-
BIZ;202305291330;24.00;0.00;10.00;799.00;31.40;6.00;48.00;21.60;39.60;957.50;1014.40;1017.20;-;-;-;-;-;-;-;-
BIV;202305291330;13.70;0.00;-;-;54.90;4.80;268.00;13.00;19.10;-;-;-;-;-;-;-;-;-;-;-
BIE;202305291330;22.60;0.00;10.00;911.00;35.40;6.50;38.00;23.00;41.80;936.20;-;1015.90;1517.90;-;-;-;-;-;-;-
BLA;202305291330;17.70;0.00;4.00;484.00;34.10;1.70;17.00;9.40;24.50;845.90;-;1018.30;1497.50;-;-;-;-;-;-;-
BOL;202305291330;23.00;0.00;10.00;841.00;39.90;8.60;49.00;24.50;37.10;921.00;-;1016.00;1515.20;-;-;-;-;-;-;-
BOU;202305291330;20.40;-;-;-;68.80;14.50;297.00;5.80;11.50;969.80;1012.60;1014.10;-;-;-;-;-;-;-;-
BRZ;202305291330;-;0.00;-;-;-;-;103.00;20.50;30.20;948.90;-;1015.40;-;-;-;-;-;-;-;-
BUS;202305291330;24.80;0.00;10.00;841.00;29.70;5.90;17.00;14.80;28.40;970.80;1014.50;1016.70;-;-;-;-;-;-;-;-
BUF;202305291330;14.60;0.00;10.00;1017.00;42.10;1.90;156.00;5.80;10.80;803.90;-;1020.40;1495.00;-;-;-;-;-;-;-
FRE;202305291330;18.50;0.00;10.00;949.00;36.30;3.30;71.00;22.70;43.60;881.60;-;1019.00;1518.80;-;-;-;-;-;-;-
CEV;202305291330;23.90;-;10.00;858.00;48.70;12.40;218.00;21.20;34.90;965.30;1012.80;1015.10;-;-;-;-;-;-;-;-
CHZ;202305291330;24.50;0.00;10.00;824.00;36.00;8.50;42.00;21.20;38.50;964.10;1013.90;1016.40;-;-;-;-;-;-;-;-
CHA;202305291330;15.40;0.00;10.00;891.00;51.50;5.50;49.00;33.50;46.10;841.90;-;1020.50;1514.30;-;-;-;-;-;-;-
CHM;202305291330;18.50;0.00;10.00;866.00;37.50;3.70;95.00;20.50;37.40;888.70;-;1018.60;1517.30;-;-;-;-;-;-;-
CHU;202305291330;24.50;0.00;10.00;824.00;36.00;8.50;51.00;27.00;43.20;949.90;1011.80;1015.20;-;-;-;-;-;-;-;-
CHD;202305291330;19.90;0.00;0.00;250.00;47.70;8.50;330.00;18.00;27.70;898.40;-;1016.30;1504.00;-;-;-;-;-;-;-
CIM;202305291330;13.60;0.00;10.00;877.00;69.60;8.20;189.00;8.60;15.80;834.90;-;1020.30;1510.80;-;-;-;-;-;-;-
CDM;202305291330;17.80;0.00;-;-;55.90;8.90;37.00;7.20;14.80;-;-;-;-;-;-;-;-;-;-;-
GSB;202305291330;6.80;0.00;3.00;493.00;63.90;0.50;288.00;14.00;28.80;755.50;-;1022.90;-;3110.80;-;-;-;-;-;-
COY;202305291330;22.40;0.00;-;-;37.00;7.00;59.00;22.70;37.10;-;-;-;-;-;-;-;-;-;-;-
CMA;202305291330;6.10;-;10.00;899.00;74.00;1.80;4.00;27.70;36.00;755.70;-;1022.70;-;3108.00;-;-;-;-;-;-
