Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305291220;23.50;0.00;10.00;910.00;34.50;7.00;55.00;14.40;33.10;954.10;1014.50;1017.40;-;-;-;-;-;-;-;-
COM;202305291220;21.80;0.00;10.00;1080.00;56.10;12.70;158.00;10.10;19.40;948.90;1013.60;1016.40;-;-;-;-;-;-;-;-
ABO;202305291220;17.50;0.00;4.00;592.00;49.80;6.90;39.00;15.10;27.70;868.30;-;1018.40;1507.60;-;-;-;-;-;-;-
AIG;202305291220;23.90;0.00;10.00;895.00;50.80;13.10;341.00;15.10;30.60;969.00;1012.10;1014.10;-;-;-;-;-;-;-;-
ALT;202305291220;23.50;0.00;10.00;939.00;47.20;11.60;333.00;17.60;25.20;963.80;1013.30;1015.60;-;-;-;-;-;-;-;-
ARH;202305291220;24.50;0.00;10.00;901.00;39.60;9.90;18.00;13.30;27.70;969.40;1014.30;1016.50;-;-;-;-;-;-;-;-
AND;202305291220;20.80;0.00;0.00;318.00;40.00;6.70;18.00;12.60;20.20;902.70;-;1016.20;1505.80;-;-;-;-;-;-;-
ANT;202305291220;15.60;0.00;0.00;436.00;60.50;8.00;359.00;18.40;25.90;857.50;-;1019.30;1510.20;-;-;-;-;-;-;-
ARO;202305291220;13.70;0.00;4.00;576.00;52.40;4.10;46.00;13.70;32.00;813.00;-;1020.50;1501.80;-;-;-;-;-;-;-
RAG;202305291220;24.10;0.00;10.00;911.00;40.30;9.80;329.00;21.20;38.90;957.60;1013.30;1016.10;-;-;-;-;-;-;-;-
BAN;202305291220;-;-;10.00;923.00;-;-;-;-;-;-;-;-;-;-;40.00;42.10;56.90;16.50;48.00;5.50
BAS;202305291220;25.70;0.00;10.00;908.00;41.50;11.70;23.00;5.40;10.10;979.00;1014.80;1016.70;-;-;-;-;-;-;-;-
LAT;202305291220;18.50;0.00;6.00;771.00;44.30;6.10;323.00;10.40;19.40;-;-;-;-;-;-;-;-;-;-;-
BER;202305291220;23.10;0.00;10.00;936.00;36.40;7.40;39.00;24.80;43.60;951.30;1013.30;1016.30;-;-;-;-;-;-;-;-
BEZ;202305291220;25.20;0.00;10.00;920.00;32.40;7.50;57.00;9.40;24.50;977.80;1014.70;1016.60;-;-;-;-;-;-;-;-
BIA;202305291220;24.00;0.00;8.00;901.00;56.30;14.80;168.00;15.50;30.20;981.90;1013.60;1015.00;-;-;-;-;-;-;-;-
BIN;202305291220;17.50;0.00;-;-;44.00;5.10;35.00;12.60;30.60;-;-;-;-;-;-;-;-;-;-;-
BIZ;202305291220;23.80;0.00;10.00;894.00;33.70;6.90;47.00;22.70;41.00;957.40;1014.30;1017.10;-;-;-;-;-;-;-;-
BIV;202305291220;13.00;0.00;-;-;60.60;5.60;199.00;8.60;19.40;-;-;-;-;-;-;-;-;-;-;-
BIE;202305291220;22.40;0.00;10.00;1001.00;35.40;6.40;36.00;22.00;41.80;936.40;-;1016.20;1519.10;-;-;-;-;-;-;-
BLA;202305291220;17.40;0.00;0.00;330.00;38.90;3.30;257.00;3.20;11.20;846.00;-;1018.40;1498.50;-;-;-;-;-;-;-
BOL;202305291220;22.80;0.00;10.00;928.00;39.70;8.40;49.00;21.60;30.20;921.00;-;1016.00;1514.70;-;-;-;-;-;-;-
BOU;202305291220;19.20;-;-;-;62.60;11.90;336.00;5.80;7.20;970.40;1013.40;1014.70;-;-;-;-;-;-;-;-
BRZ;202305291220;-;0.00;-;-;-;-;99.00;22.00;34.60;949.00;-;1015.50;-;-;-;-;-;-;-;-
BUS;202305291220;24.40;0.00;10.00;918.00;37.70;9.10;28.00;13.00;26.60;970.90;1014.70;1016.80;-;-;-;-;-;-;-;-
BUF;202305291220;12.80;0.00;2.00;473.00;47.80;2.00;150.00;5.00;9.40;804.10;-;1020.70;1500.20;-;-;-;-;-;-;-
FRE;202305291220;17.90;0.00;10.00;1008.00;31.60;0.80;52.00;20.50;43.60;881.80;-;1019.30;1520.10;-;-;-;-;-;-;-
CEV;202305291220;23.80;0.00;10.00;942.00;50.40;12.90;210.00;17.60;27.40;965.90;1013.40;1015.70;-;-;-;-;-;-;-;-
CHZ;202305291220;23.90;0.00;10.00;912.00;38.50;8.90;58.00;22.30;36.00;964.20;1014.10;1016.50;-;-;-;-;-;-;-;-
CHA;202305291220;14.60;0.00;9.00;848.00;56.60;6.10;58.00;22.00;34.20;841.90;-;1020.50;1514.50;-;-;-;-;-;-;-
CHM;202305291220;18.30;0.00;10.00;954.00;41.40;5.00;90.00;22.70;41.80;888.90;-;1018.80;1519.00;-;-;-;-;-;-;-
CHU;202305291220;23.80;0.00;10.00;911.00;37.00;8.20;49.00;25.20;43.90;950.10;1012.20;1015.40;-;-;-;-;-;-;-;-
CHD;202305291220;20.40;0.00;5.00;651.00;51.50;10.10;219.00;12.60;21.20;898.60;-;1016.60;1506.80;-;-;-;-;-;-;-
CIM;202305291220;12.70;0.00;10.00;975.00;67.90;6.90;216.00;8.60;19.10;835.10;-;1020.60;1513.30;-;-;-;-;-;-;-
CDM;202305291220;15.30;0.00;-;-;73.20;10.50;194.00;3.60;8.30;-;-;-;-;-;-;-;-;-;-;-
GSB;202305291220;6.50;0.00;2.00;681.00;64.80;0.40;250.00;6.10;13.70;755.50;-;1022.90;-;3110.10;-;-;-;-;-;-
COY;202305291220;21.80;0.00;-;-;39.70;7.50;58.00;20.90;33.10;-;-;-;-;-;-;-;-;-;-;-
CMA;202305291220;6.00;-;6.00;746.00;71.70;1.30;6.00;18.00;25.90;755.70;-;1022.70;-;3107.80;-;-;-;-;-;-
CRM;202305291220;24.00;0.00;10.00;912.00;38.80;9.10;72.00;19.80;29.50;965.20;1013.70;1016.00;-;-;-;-;-;-;-;-
DAV;202305291220;17.10;0.00;5.00;687.00;42.10;4.10;7.00;16.90;32.40;840.60;-;1019.00;1500.50;-;-;-;-;-;-;-
DEM;202305291220;24.20;0.00;10.00;903.00;35.80;8.10;36.00;16.20;29.90;964.90;1014.40;1016.80;-;-;-;-;-;-;-;-
DIS;202305291220;20.30;0.00;8.00;697.00;37.80;5.50;66.00;8.30;17.60;881.30;-;1017.70;1509.80;-;-;-;-;-;-;-
EBK;202305291220;22.70;0.00;10.00;906.00;39.00;8.00;2.00;12.60;28.80;944.30;-;1017.30;1531.30;-;-;-;-;-;-;-
EGH;202305291220;5.50;-;3.00;566.00;61.70;-1.30;134.00;14.80;33.50;718.70;-;1024.00;-;3108.50;-;-;-;-;-;-
EGO;202305291220;23.10;0.00;10.00;906.00;42.50;9.70;74.00;22.30;34.60;955.40;1014.00;1016.80;-;-;-;-;-;-;-;-
EIN;202305291220;19.50;0.00;10.00;902.00;51.90;9.40;29.00;14.80;23.80;913.00;-;1018.20;1523.10;-;-;-;-;-;-;-
ELM;202305291220;21.70;0.00;10.00;1045.00;48.60;10.40;348.00;14.80;25.20;906.80;-;1017.10;1516.50;-;-;-;-;-;-;-
ENG;202305291220;19.50;0.00;10.00;1017.00;49.90;8.80;292.00;16.60;30.60;899.40;-;1018.40;1520.90;-;-;-;-;-;-;-
EVI;202305291220;23.70;0.00;10.00;961.00;47.00;11.70;339.00;25.60;42.80;957.90;1012.00;1014.60;-;-;-;-;-;-;-;-
EVO;202305291220;13.90;0.00;0.00;228.00;50.00;3.70;282.00;9.70;17.60;817.40;-;1019.70;1497.40;-;-;-;-;-;-;-
FAH;202305291220;21.20;0.00;10.00;986.00;47.60;9.60;55.00;15.80;31.70;948.00;1015.30;1018.10;-;-;-;-;-;-;-;-
FLU;202305291220;18.20;0.00;-;-;52.90;8.40;15.00;21.60;36.00;-;-;-;-;-;-;-;-;-;-;-
GRA;202305291220;22.90;0.00;10.00;982.00;40.30;8.70;39.00;29.50;48.60;940.10;-;1016.10;1521.30;-;-;-;-;-;-;-
FRU;202305291220;22.50;0.00;10.00;936.00;44.90;9.90;47.00;18.40;32.00;-;-;-;-;-;-;-;-;-;-;-
GVE;202305291220;24.50;0.00;10.00;901.00;35.40;8.20;38.00;24.80;37.10;966.40;1012.70;1015.00;-;-;-;-;-;-;-;-
GES;202305291220;21.10;0.00;-;-;51.50;10.70;157.00;7.20;13.30;-;-;-;-;-;-;-;-;-;-;-
GIH;202305291220;23.80;0.00;10.00;875.00;46.80;11.80;55.00;12.20;22.00;960.90;1013.90;1016.50;-;-;-;-;-;-;-;-
GLA;202305291220;24.10;0.00;10.00;941.00;40.60;9.90;332.00;25.20;37.10;955.00;1012.90;1015.80;-;-;-;-;-;-;-;-
GOR;202305291220;2.80;-;0.00;526.00;56.20;-5.00;320.00;6.10;17.30;697.80;-;1024.70;-;3105.90;-;-;-;-;-;-
GRE;202305291220;24.20;0.00;10.00;926.00;37.40;8.80;78.00;24.80;46.40;965.50;1013.80;1016.10;-;-;-;-;-;-;-;-
GRH;202305291220;11.00;0.00;0.00;352.00;61.90;4.00;40.00;4.30;11.50;805.40;-;1021.30;1509.00;-;-;-;-;-;-;-
GRO;202305291220;22.80;0.00;5.00;708.00;57.00;13.80;163.00;8.30;14.40;977.30;1014.20;1015.70;-;-;-;-;-;-;-;-
GRC;202305291220;17.90;0.00;9.00;982.00;35.50;2.40;-;-;-;839.10;-;1018.50;1495.20;-;-;-;-;-;-;-
GOS;202305291220;19.30;0.00;-;-;51.10;8.90;3.00;12.20;23.40;907.90;-;1017.40;1514.70;-;-;-;-;-;-;-
GOE;202305291220;23.90;0.00;10.00;913.00;34.40;7.30;46.00;15.50;25.90;971.40;1014.60;1016.60;-;-;-;-;-;-;-;-
GUE;202305291220;8.90;0.00;0.00;440.00;65.00;2.70;341.00;7.90;14.00;774.20;-;1022.30;1506.40;-;-;-;-;-;-;-
GUT;202305291220;24.00;0.00;10.00;944.00;34.70;7.50;57.00;15.50;24.10;965.00;1014.60;1017.00;-;-;-;-;-;-;-;-
HLL;202305291220;24.00;0.00;10.00;921.00;31.90;6.30;66.00;21.20;33.50;967.70;1015.00;1017.30;-;-;-;-;-;-;-;-
HOE;202305291220;18.90;0.00;10.00;935.00;50.10;8.30;43.00;7.20;25.60;889.80;-;1019.50;1525.60;-;-;-;-;-;-;-
ILZ;202305291220;24.30;0.00;10.00;939.00;35.10;7.90;-;-;-;934.20;-;1015.50;1519.00;-;-;-;-;-;-;-
INT;202305291220;23.40;0.00;10.00;928.00;41.90;9.70;89.00;8.30;15.80;947.90;1012.40;1015.60;-;-;-;-;-;-;-;-
JUN;202305291220;-2.20;-;10.00;1081.00;84.30;-4.50;156.00;15.50;18.70;660.30;-;1026.20;-;3109.10;-;-;-;-;-;-
KOP;202305291220;24.10;0.00;10.00;931.00;36.20;8.20;56.00;27.40;40.70;959.60;1014.10;1016.80;-;-;-;-;-;-;-;-
BRL;202305291220;19.30;0.00;10.00;955.00;35.60;3.70;80.00;24.80;37.40;898.00;-;1018.50;1521.20;-;-;-;-;-;-;-
CDF;202305291220;19.70;0.00;10.00;945.00;42.80;6.70;43.00;19.10;28.40;901.40;-;1018.40;1521.60;-;-;-;-;-;-;-
DOL;202305291220;15.70;0.00;10.00;977.00;36.50;0.90;76.00;20.50;34.60;833.50;-;1019.80;1504.10;-;-;-;-;-;-;-
LAC;202305291220;23.80;0.00;-;-;41.90;10.10;-;-;-;-;-;-;-;-;-;-;-;-;-;-
LAG;202305291220;21.90;0.00;10.00;913.00;42.60;8.60;127.00;8.30;28.10;930.80;-;1017.40;1526.60;-;-;-;-;-;-;-
MLS;202305291220;12.40;0.00;10.00;988.00;72.50;7.60;62.00;7.60;24.10;803.70;-;1021.00;1502.90;-;-;-;-;-;-;-
LEI;202305291220;24.80;0.00;10.00;922.00;36.00;8.70;51.00;18.70;31.70;976.20;1014.90;1016.80;-;-;-;-;-;-;-;-
ATT;202305291220;4.80;-;0.00;411.00;84.20;2.40;193.00;4.00;8.60;732.60;-;1023.20;-;3105.30;-;-;-;-;-;-
CHB;202305291220;19.00;0.00;-;-;32.00;1.90;42.00;30.60;46.10;898.20;-;1018.20;1517.50;-;-;-;-;-;-;-
DIA;202305291220;5.90;-;10.00;1084.00;72.60;1.40;62.00;2.90;9.40;712.30;-;1024.10;-;3107.50;-;-;-;-;-;-
MAR;202305291220;21.50;0.00;-;-;54.90;12.10;103.00;6.50;19.10;-;-;-;-;-;-;-;-;-;-;-
OTL;202305291220;22.30;0.00;10.00;914.00;55.50;13.00;234.00;8.30;19.80;972.10;1014.70;1016.40;-;-;-;-;-;-;-;-
LUG;202305291220;21.90;0.00;10.00;927.00;59.30;13.60;181.00;7.20;15.10;980.60;1015.10;1016.30;-;-;-;-;-;-;-;-
LUZ;202305291220;24.30;0.00;10.00;910.00;38.90;9.40;360.00;18.00;33.50;962.80;1013.90;1016.50;-;-;-;-;-;-;-;-
LAE;202305291220;18.90;-;10.00;949.00;36.50;3.70;30.00;23.80;40.00;920.40;-;1018.30;1524.00;-;-;-;-;-;-;-
MAG;202305291220;23.50;0.00;10.00;897.00;54.50;13.80;259.00;14.00;21.20;991.20;1014.70;1015.60;-;-;-;-;-;-;-;-
MAS;202305291220;22.40;0.00;-;-;43.90;9.50;9.00;23.80;34.90;-;-;-;-;-;-;-;-;-;-;-
MAH;202305291220;24.50;0.00;10.00;968.00;34.80;8.00;40.00;29.20;43.60;964.20;1013.20;1015.60;-;-;-;-;-;-;-;-
MTR;202305291220;8.30;-;2.00;428.00;88.20;6.50;158.00;5.80;12.20;783.70;-;1022.40;1513.40;-;-;-;-;-;-;-
MER;202305291220;22.40;0.00;10.00;901.00;43.30;9.30;329.00;28.80;47.50;946.60;1012.50;1015.60;-;-;-;-;-;-;-;-
MOB;202305291220;20.40;0.00;-;-;49.80;9.60;360.00;11.90;22.70;918.20;-;1015.30;1501.80;-;-;-;-;-;-;-
MVE;202305291220;18.90;0.00;10.00;1007.00;44.80;6.70;219.00;7.90;16.20;857.30;-;1017.70;1497.70;-;-;-;-;-;-;-
GEN;202305291220;12.90;0.00;1.00;498.00;81.80;9.90;221.00;2.50;9.40;841.70;-;1021.00;1518.70;-;-;-;-;-;-;-
MRP;202305291220;5.60;-;0.00;656.00;51.80;-3.50;95.00;5.40;11.20;719.00;-;1023.60;-;3105.80;-;-;-;-;-;-
MOA;202305291220;24.30;0.00;10.00;929.00;35.70;8.20;37.00;22.30;37.10;963.20;1014.20;1016.70;-;-;-;-;-;-;-;-
MTE;202305291220;16.70;0.00;0.00;383.00;42.20;3.80;6.00;9.40;18.40;841.60;-;1018.40;1496.10;-;-;-;-;-;-;-
MOE;202305291220;24.90;0.00;10.00;904.00;32.20;7.20;76.00;14.40;23.40;976.10;1014.90;1016.80;-;-;-;-;-;-;-;-
MUB;202305291220;23.20;0.00;10.00;954.00;41.30;9.30;70.00;21.20;37.80;959.40;1013.50;1016.00;-;-;-;-;-;-;-;-
NAS;202305291220;9.10;-;5.00;875.00;51.00;-0.50;338.00;18.70;25.60;765.10;-;1022.10;-;3112.50;-;-;-;-;-;-
NAP;202305291220;16.70;0.00;10.00;969.00;59.80;8.90;346.00;10.10;27.40;861.20;-;1019.90;1516.90;-;-;-;-;-;-;-
NEU;202305291220;24.50;0.00;10.00;935.00;31.00;6.30;78.00;24.80;39.60;959.10;1013.40;1016.20;-;-;-;-;-;-;-;-
CGI;202305291220;24.90;0.00;10.00;926.00;36.00;8.80;54.00;22.70;38.20;960.90;1012.30;1015.00;-;-;-;-;-;-;-;-
OBR;202305291220;24.60;0.00;-;-;38.50;9.50;354.00;19.40;35.30;967.80;1013.90;1016.20;-;-;-;-;-;-;-;-
AEG;202305291220;-;-;-;-;-;-;23.00;13.00;27.00;-;-;-;-;-;-;-;-;-;-;-
ORO;202305291220;21.70;0.00;10.00;921.00;42.80;8.50;21.00;27.40;36.70;920.50;-;1016.50;1515.60;-;-;-;-;-;-;-
BEH;202305291220;8.70;0.00;1.00;610.00;69.30;3.40;142.00;21.20;28.40;776.90;-;1022.40;1509.40;-;-;-;-;-;-;-
PAY;202305291220;23.60;0.00;10.00;922.00;36.50;7.90;33.00;23.80;42.10;958.20;1013.20;1015.90;-;-;-;-;-;-;-;-
PIL;202305291220;9.20;0.00;6.00;765.00;74.90;5.00;27.00;22.70;35.60;791.90;-;1022.00;1512.20;-;-;-;-;-;-;-
