Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305291310;23.50;0.00;10.00;853.00;32.10;5.90;33.00;14.80;27.40;954.10;1014.50;1017.40;-;-;-;-;-;-;-;-
COM;202305291310;21.10;0.00;2.00;385.00;58.20;12.60;176.00;12.60;23.40;948.60;1013.40;1016.10;-;-;-;-;-;-;-;-
ABO;202305291310;19.40;0.00;10.00;992.00;48.50;8.30;19.00;14.00;28.80;868.30;-;1018.40;1508.90;-;-;-;-;-;-;-
AIG;202305291310;24.20;0.00;10.00;847.00;45.80;11.80;350.00;19.10;29.20;968.60;1011.60;1013.70;-;-;-;-;-;-;-;-
ALT;202305291310;23.60;0.00;10.00;891.00;46.50;11.50;327.00;16.90;27.00;963.70;1013.20;1015.50;-;-;-;-;-;-;-;-
ARH;202305291310;24.70;0.00;10.00;835.00;38.80;9.70;8.00;14.40;27.40;969.50;1014.40;1016.60;-;-;-;-;-;-;-;-
AND;202305291310;21.40;0.00;3.00;425.00;36.00;5.70;22.00;13.70;23.00;902.60;-;1016.10;1506.00;-;-;-;-;-;-;-
ANT;202305291310;15.70;0.00;7.00;699.00;63.10;8.70;5.00;25.20;37.10;857.60;-;1019.40;1511.20;-;-;-;-;-;-;-
ARO;202305291310;14.00;0.00;10.00;1027.00;53.40;4.70;341.00;12.60;25.60;813.00;-;1020.50;1501.40;-;-;-;-;-;-;-
RAG;202305291310;24.60;0.00;10.00;845.00;37.10;9.00;325.00;20.50;42.50;957.50;1013.10;1016.00;-;-;-;-;-;-;-;-
BAN;202305291310;-;-;10.00;889.00;-;-;-;-;-;-;-;-;-;-;48.00;40.70;53.60;17.20;45.50;5.30
BAS;202305291310;25.40;0.00;10.00;825.00;37.50;9.90;304.00;8.30;15.10;978.80;1014.70;1016.50;-;-;-;-;-;-;-;-
LAT;202305291310;19.10;0.00;6.00;718.00;41.00;5.60;309.00;9.00;19.40;-;-;-;-;-;-;-;-;-;-;-
BER;202305291310;24.30;0.00;10.00;888.00;34.20;7.50;54.00;19.40;31.30;951.20;1012.90;1016.20;-;-;-;-;-;-;-;-
BEZ;202305291310;25.00;0.00;10.00;859.00;31.10;6.80;34.00;14.80;27.00;977.90;1014.90;1016.70;-;-;-;-;-;-;-;-
BIA;202305291310;24.90;0.00;10.00;988.00;48.90;13.40;189.00;20.50;30.20;981.50;1013.10;1014.60;-;-;-;-;-;-;-;-
BIN;202305291310;17.70;0.00;-;-;45.80;5.90;43.00;16.20;31.00;-;-;-;-;-;-;-;-;-;-;-
BIZ;202305291310;24.30;0.00;10.00;830.00;31.70;6.40;44.00;18.70;30.60;957.50;1014.30;1017.20;-;-;-;-;-;-;-;-
BIV;202305291310;13.80;0.00;-;-;54.20;4.70;192.00;4.30;10.80;-;-;-;-;-;-;-;-;-;-;-
BIE;202305291310;22.50;0.00;10.00;936.00;34.40;6.00;48.00;24.80;44.30;936.30;-;1016.10;1518.50;-;-;-;-;-;-;-
BLA;202305291310;18.10;0.00;6.00;626.00;35.40;2.60;23.00;5.00;11.90;846.10;-;1018.60;1499.40;-;-;-;-;-;-;-
BOL;202305291310;23.30;0.00;10.00;880.00;39.30;8.70;45.00;23.00;36.00;921.00;-;1016.00;1515.90;-;-;-;-;-;-;-
BOU;202305291310;19.90;-;-;-;66.80;13.50;354.00;6.50;8.60;970.00;1012.90;1014.30;-;-;-;-;-;-;-;-
BRZ;202305291310;-;0.00;-;-;-;-;105.00;20.20;34.60;948.90;-;1015.40;-;-;-;-;-;-;-;-
BUS;202305291310;24.50;0.00;10.00;872.00;33.20;7.30;57.00;10.40;26.60;970.90;1014.70;1016.80;-;-;-;-;-;-;-;-
BUF;202305291310;14.00;0.00;3.00;552.00;44.90;2.20;194.00;9.00;15.80;804.00;-;1020.60;1497.10;-;-;-;-;-;-;-
FRE;202305291310;18.60;0.00;10.00;972.00;38.80;4.30;77.00;24.50;38.20;881.70;-;1019.20;1519.90;-;-;-;-;-;-;-
CEV;202305291310;24.10;0.00;10.00;858.00;47.50;12.30;203.00;20.50;32.00;965.50;1013.00;1015.30;-;-;-;-;-;-;-;-
CHZ;202305291310;24.60;0.00;10.00;856.00;36.30;8.70;44.00;17.60;32.80;964.20;1013.90;1016.50;-;-;-;-;-;-;-;-
CHA;202305291310;15.20;0.00;10.00;920.00;55.70;6.40;52.00;28.40;39.60;841.90;-;1020.50;1514.40;-;-;-;-;-;-;-
CHM;202305291310;18.40;0.00;10.00;893.00;40.70;4.80;94.00;21.20;39.20;888.80;-;1018.70;1518.20;-;-;-;-;-;-;-
CHU;202305291310;24.80;0.00;10.00;856.00;37.10;9.20;47.00;25.90;40.30;949.90;1011.80;1015.20;-;-;-;-;-;-;-;-
CHD;202305291310;22.00;0.00;9.00;936.00;49.90;11.10;342.00;15.10;27.70;898.50;-;1016.50;1508.60;-;-;-;-;-;-;-
CIM;202305291310;12.80;0.00;10.00;918.00;65.40;6.50;183.00;5.00;13.00;835.10;-;1020.60;1513.30;-;-;-;-;-;-;-
CDM;202305291310;16.70;0.00;-;-;69.80;11.20;204.00;6.50;11.50;-;-;-;-;-;-;-;-;-;-;-
GSB;202305291310;7.60;0.00;9.00;835.00;67.20;1.90;277.00;22.30;32.40;755.30;-;1022.60;-;3110.50;-;-;-;-;-;-
COY;202305291310;22.20;0.00;-;-;39.10;7.60;57.00;19.10;29.20;-;-;-;-;-;-;-;-;-;-;-
CMA;202305291310;6.20;-;10.00;882.00;71.40;1.40;359.00;20.90;28.80;755.80;-;1022.80;-;3109.30;-;-;-;-;-;-
CRM;202305291310;24.10;0.00;10.00;869.00;37.30;8.60;67.00;22.00;33.80;964.90;1013.40;1015.70;-;-;-;-;-;-;-;-
DAV;202305291310;17.40;0.00;10.00;1005.00;38.20;3.00;4.00;15.10;25.60;840.70;-;1019.10;1501.40;-;-;-;-;-;-;-
DEM;202305291310;24.70;0.00;10.00;860.00;34.60;8.10;25.00;15.50;26.30;964.90;1014.30;1016.80;-;-;-;-;-;-;-;-
DIS;202305291310;20.30;0.00;6.00;708.00;33.80;3.90;56.00;8.60;15.80;881.30;-;1017.70;1509.80;-;-;-;-;-;-;-
EBK;202305291310;22.80;0.00;10.00;866.00;38.20;7.80;4.00;15.80;30.60;944.40;-;1017.40;1532.60;-;-;-;-;-;-;-
EGH;202305291310;5.00;-;10.00;1104.00;65.00;-1.00;146.00;6.80;13.30;718.90;-;1024.20;-;3110.30;-;-;-;-;-;-
EGO;202305291310;23.60;0.00;10.00;853.00;35.60;7.50;39.00;20.50;34.60;955.40;1013.90;1016.80;-;-;-;-;-;-;-;-
EIN;202305291310;20.00;0.00;10.00;860.00;47.60;8.50;24.00;16.60;25.60;913.00;-;1018.20;1524.20;-;-;-;-;-;-;-
ELM;202305291310;21.90;0.00;10.00;959.00;39.30;7.40;334.00;9.00;16.20;906.90;-;1017.20;1517.90;-;-;-;-;-;-;-
ENG;202305291310;20.40;0.00;8.00;835.00;47.20;8.80;249.00;13.30;28.40;899.40;-;1018.40;1522.50;-;-;-;-;-;-;-
EVI;202305291310;23.90;0.00;7.00;648.00;47.20;12.00;336.00;19.10;31.70;957.70;1011.70;1014.40;-;-;-;-;-;-;-;-
EVO;202305291310;13.90;0.00;6.00;774.00;51.50;4.10;278.00;6.80;11.90;817.60;-;1020.00;1499.50;-;-;-;-;-;-;-
FAH;202305291310;22.40;0.00;10.00;924.00;47.50;10.70;74.00;13.70;26.60;947.90;1014.80;1018.00;-;-;-;-;-;-;-;-
FLU;202305291310;19.40;0.00;-;-;47.10;7.80;9.00;22.30;34.60;-;-;-;-;-;-;-;-;-;-;-
GRA;202305291310;23.20;0.00;10.00;908.00;39.30;8.60;36.00;28.80;51.10;940.00;-;1016.00;1521.30;-;-;-;-;-;-;-
FRU;202305291310;23.00;0.00;10.00;862.00;40.00;8.70;40.00;14.80;33.80;-;-;-;-;-;-;-;-;-;-;-
GVE;202305291310;24.50;0.00;10.00;860.00;33.50;7.40;41.00;24.80;36.70;966.00;1012.30;1014.60;-;-;-;-;-;-;-;-
GES;202305291310;22.90;0.00;-;-;48.10;11.30;195.00;11.50;18.00;-;-;-;-;-;-;-;-;-;-;-
GIH;202305291310;24.50;0.00;10.00;829.00;42.70;11.00;56.00;11.90;21.20;960.60;1013.50;1016.20;-;-;-;-;-;-;-;-
GLA;202305291310;25.30;0.00;10.00;869.00;37.10;9.60;324.00;19.80;32.40;954.90;1012.50;1015.70;-;-;-;-;-;-;-;-
GOR;202305291310;4.20;-;5.00;865.00;56.00;-3.80;115.00;13.30;25.90;697.90;-;1024.80;-;3107.00;-;-;-;-;-;-
GRE;202305291310;24.60;0.00;10.00;871.00;36.20;8.60;77.00;24.50;34.90;965.50;1013.70;1016.10;-;-;-;-;-;-;-;-
GRH;202305291310;11.00;0.00;1.00;355.00;68.90;5.50;356.00;15.80;23.40;805.70;-;1021.70;1512.20;-;-;-;-;-;-;-
GRO;202305291310;22.90;0.00;0.00;393.00;56.20;13.70;165.00;9.40;14.80;976.90;1013.80;1015.30;-;-;-;-;-;-;-;-
GRC;202305291310;18.00;0.00;10.00;765.00;33.60;1.80;-;-;-;839.10;-;1018.50;1495.10;-;-;-;-;-;-;-
GOS;202305291310;19.80;0.00;-;-;48.50;8.60;356.00;12.60;25.90;907.80;-;1017.30;1514.80;-;-;-;-;-;-;-
GOE;202305291310;24.60;0.00;10.00;869.00;32.00;6.80;41.00;16.90;29.90;971.30;1014.30;1016.50;-;-;-;-;-;-;-;-
GUE;202305291310;9.30;0.00;10.00;1081.00;81.00;6.20;343.00;13.70;18.00;774.30;-;1022.40;1506.30;-;-;-;-;-;-;-
GUT;202305291310;24.10;0.00;10.00;837.00;34.40;7.40;41.00;18.00;27.00;965.10;1014.70;1017.10;-;-;-;-;-;-;-;-
HLL;202305291310;24.80;0.00;10.00;864.00;31.80;6.90;87.00;22.00;32.00;967.60;1014.80;1017.20;-;-;-;-;-;-;-;-
HOE;202305291310;18.60;0.00;10.00;877.00;49.10;7.70;61.00;11.90;35.30;889.80;-;1019.50;1525.20;-;-;-;-;-;-;-
ILZ;202305291310;24.50;0.00;10.00;880.00;31.70;6.60;-;-;-;934.00;-;1015.30;1517.70;-;-;-;-;-;-;-
INT;202305291310;24.00;0.00;10.00;876.00;40.00;9.60;48.00;12.20;18.70;947.90;1012.20;1015.60;-;-;-;-;-;-;-;-
JUN;202305291310;-2.40;-;10.00;1033.00;90.60;-3.70;147.00;13.00;15.50;660.50;-;1026.50;-;3111.90;-;-;-;-;-;-
KOP;202305291310;25.10;0.00;10.00;876.00;31.70;7.10;46.00;25.60;39.60;959.50;1013.80;1016.70;-;-;-;-;-;-;-;-
BRL;202305291310;19.70;0.00;10.00;905.00;39.10;5.40;70.00;19.80;33.10;897.80;-;1018.30;1519.90;-;-;-;-;-;-;-
CDF;202305291310;20.00;0.00;10.00;897.00;37.80;5.20;70.00;19.10;31.70;901.30;-;1018.30;1521.20;-;-;-;-;-;-;-
